figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	validation_class	n_modules	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority	_x	_y	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	model_estimate	model_standard_error	model_t_value	model_p_value	degrees_freedom	model_q_within_contrast	model_fdr_0_05	model_fdr_0_10	_value	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	_size
Figure_2	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.7289353679747926	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																						
Figure_2	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.5414823937719221	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																						
Figure_2	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	-0.4517882407208367	standardized_module_score_beta	negative	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect																																																						
Figure_2	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	-0.0500285858969276	standardized_module_score_beta	negative	False	0.8666984902750224	1.0	mouse_bladder_average_pathogen_exposure_effect																																																						
Figure_2	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.3426604694469146	standardized_module_score_beta	positive	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.5368886211433204	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	-0.5137480120935256	hedges_g	negative	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	1.601768502216392	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.6086712161392323	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.5144853654662742	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
