figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	validation_class	n_modules	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority	_x	_y	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	model_estimate	model_standard_error	model_t_value	model_p_value	degrees_freedom	model_q_within_contrast	model_fdr_0_05	model_fdr_0_10	_value	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	_size
Figure_2	E	gse112098_adjusted		GSE112098		submodule	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	Figure_9			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.5129682817281497	0.117470558801463	4.366781659693281	4.337397419927477e-05	69.0	0.0011855552947801	True	True	0.5129682817281497					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	Figure_9			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.477190556982652	0.0977499171893911	4.881748964125381	6.528212605990397e-06	69.0	0.0005353134336912	True	True	0.477190556982652					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	Integrated_network			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.4717524899299532	0.1208216659527054	3.9045355500611647	0.0002171545925007	69.0	0.0031334957736074	True	True	0.4717524899299532					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.4390215145607949	0.1415373857942698	3.1018060146944504	0.0027859778694692	69.0	0.0190375154413734	True	True	0.4390215145607949					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.4356061682165955	0.1354324621493038	3.216408838055188	0.0019770833698835	69.0	0.0147382578482227	True	True	0.4356061682165955					
Figure_2	E	gse112098_adjusted		GSE112098		submodule	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	Integrated_network			positive																																						GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41.0	32.0	0.401604812956293	0.1392548940561424	2.883954748436925	0.0052341063928145	69.0	0.0243664042580001	True	True	0.401604812956293					
Figure_2	F	gse186800_factorial		GSE186800		submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.8737464490100074	0.3357505214407851	2.602368107309422	0.019247994002534	16.0	0.206894363830262	False	False	0.8737464490100074			0.8737464490100074		
Figure_2	F	gse186800_factorial		GSE186800		submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.7814687820842906	0.2505096510606351	3.119515670456697	0.0066042132130167	16.0	0.206894363830262	False	False	0.7814687820842906			0.7814687820842906		
Figure_2	F	gse186800_factorial		GSE186800		submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.7289353679747926	0.2436545285351252	2.9916758467705207	0.008627997262662	16.0	0.206894363830262	False	False	0.7289353679747926			0.7289353679747926		
Figure_2	F	gse186800_factorial		GSE186800		submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.7116572012171	0.3003937066714349	2.3690815932954865	0.0307512589572047	16.0	0.206894363830262	False	False	0.7116572012171			0.7116572012171		
Figure_2	F	gse186800_factorial		GSE186800		submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.6586311933890442	0.2861365110226598	2.301807591890592	0.0351204597601359	16.0	0.206894363830262	False	False	0.6586311933890442			0.6586311933890442		
Figure_2	F	gse186800_factorial		GSE186800		submodule	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	Figure_7			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.6418482665700248	0.2147478670893919	2.988845827757843	0.0086790598587315	16.0	0.206894363830262	False	False	0.6418482665700248			0.6418482665700248		
Figure_2	F	gse186800_factorial		GSE186800		submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.6070000780702226	0.2699501429734446	2.248563647287766	0.0389827374137198	16.0	0.206894363830262	False	False	0.6070000780702226			0.6070000780702226		
Figure_2	F	gse186800_factorial		GSE186800		submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8			positive																																						GSE186800_AVERAGE_TREATMENT	bladder_exposure_recurrence_model	independent_mouse_bulk	average_Gardnerella_vs_PBS	reference	20.0		0.593588717978961	0.2689697599204391	2.206897601256527	0.0422768144502528	16.0	0.206894363830262	False	False	0.593588717978961			0.593588717978961		
Figure_2	G	recurrence_ranking					adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3544;GSE186800:0.7289;GSE252321:0.9901;GSE280297:0.3395	4.0	0.0	positive	1.0	0.541669623390839	0.541669623390839	0.9900621618745398	1.0	2.0	1.0	13.041669623390838										1.0	0.541669623390839																					13.041669623390838
Figure_2	G	recurrence_ranking					carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8														context_divergent_or_tissue_specific		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5186;GSE186800:-0.0933;GSE252321:1.0086;GSE280297:-0.4066	2.0	2.0	negative	0.6153846153846154	0.2126527648877263	0.4626056479084688	1.0085607514920767	1.0	2.0	1.0	12.577990263293083										0.6153846153846154	0.2126527648877263																					12.577990263293083
Figure_2	G	recurrence_ranking					complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10														one_FDR_dataset_plus_independent_concordant_effect		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5287;GSE186800:-0.0500;GSE252321:1.2720;GSE280297:0.0681	3.0	1.0	positive	0.6923076923076923	0.298388616388004	0.298388616388004	1.271995088268732	1.0	2.0	1.0	12.490696308695696										0.6923076923076923	0.298388616388004																					12.490696308695696
Figure_2	G	recurrence_ranking					nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	Figure_9														context_divergent_or_tissue_specific		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5130;GSE186800:-0.0147;GSE252321:0.8909;GSE280297:-0.0112	2.0	2.0	negative	0.6153846153846154	0.2508795193021792	0.263842357095577	0.8909110371341586	1.0	2.0	1.0	12.379226972480192										0.6153846153846154	0.2508795193021792																					12.379226972480192
Figure_2	G	recurrence_ranking					immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	Integrated_network														limited_independent_support		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.4016;GSE186800:0.2536;GSE252321:1.0446;GSE280297:0.3402	4.0	0.0	positive	1.0	0.3708793285123034	0.3708793285123034	1.0445949889470858	1.0	1.0	1.0	11.370879328512304										1.0	0.3708793285123034																					11.370879328512304
Figure_2	G	recurrence_ranking					adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8														limited_independent_support		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.4390;GSE186800:0.1633;GSE252321:1.4473;GSE280297:0.2726	4.0	0.0	positive	1.0	0.3558003085579468	0.3558003085579468	1.447321620719106	1.0	1.0	1.0	11.355800308557948										1.0	0.3558003085579468																					11.355800308557948
Figure_2	G	recurrence_ranking					steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7														limited_independent_support		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3653;GSE186800:0.1883;GSE252321:1.1502;GSE280297:0.0247	4.0	0.0	positive	1.0	0.2767858130086916	0.2767858130086916	1.1502346745187015	1.0	1.0	1.0	11.276785813008692										1.0	0.2767858130086916																					11.276785813008692
Figure_2	G	recurrence_ranking					immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	Integrated_network														limited_independent_support		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2900;GSE186800:0.2455;GSE252321:1.8319;GSE280297:0.2163	4.0	0.0	positive	1.0	0.2677640036828332	0.2677640036828332	1.8318950944988115	1.0	1.0	1.0	11.267764003682831										1.0	0.2677640036828332																					11.267764003682831
Figure_2	G	recurrence_ranking					immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	Integrated_network														limited_independent_support		4.0	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.4718;GSE186800:-0.3258;GSE252321:1.6832;GSE280297:0.1432	3.0	1.0	positive	0.6923076923076923	0.3074881720994313	0.3987535972463021	1.6831623720365632	1.0	1.0	1.0	11.091061289553991										0.6923076923076923	0.3074881720994313																					11.091061289553991
