figure	panel	source_role	source_note	inferred_group	bladder	placenta	uterus	feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	contrast_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g	_score	domain	n_features	median_effect	mean_effect	n_positive	n_negative	directional_coherence	refined_effect_class	refined_interpretation	_value	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder
Figure_3	E	gse280297_primary_matrix						COMPLEMENT_TERMINAL_MAC																										-0.0039671268564699	0.0283417151003333	0.960613721304766	
Figure_3	E	gse280297_primary_matrix						COMPLEMENT_OPSONOPHAGOCYTOSIS																										0.4245595687724989	-0.2481381092563892	0.8797041911271781	
Figure_3	E	gse280297_primary_matrix						COMPLEMENT_REGULATORS																										0.523732131138319	0.4902339741032377	0.7446344914912053	
Figure_3	E	gse280297_primary_matrix						COMPLEMENT_CLASSICAL																										0.2653474573865672	-0.3581803266020909	0.7159321600271066	
Figure_3	E	gse280297_primary_matrix						COMPLEMENT_C3A_C5A_SIGNALING																										0.6066408853550672	-0.1757757683686546	0.0680688980830458	
Figure_3	E	gse280297_primary_matrix						COMPLEMENT_LECTIN																										-0.0687352218142978	-0.101247873556204	-0.559102393695678	
Figure_3	E	gse280297_primary_matrix						COMPLEMENT_COAGULATION_CROSSTALK																										0.3667988269137078	-0.0385061427396443	-0.1584186197031355	
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_LECTIN																									1.0957972708101489				1.0957972708101489
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_COAGULATION_CROSSTALK																									1.079559418900903				1.079559418900903
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_CLASSICAL																									0.9339565793762142				0.9339565793762142
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_TERMINAL_MAC																									0.7778746537245376				0.7778746537245376
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_ALTERNATIVE																									0.7048957838255627				0.7048957838255627
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_C3_CONVERTASE_AMPLIFICATION																									0.643811596451764				0.643811596451764
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_OPSONOPHAGOCYTOSIS																									0.6237123005145684				0.6237123005145684
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_REGULATORS																									0.3362592898366689				0.3362592898366689
Figure_3	F	gse280297_primary_matrix						COMPLEMENT_C3A_C5A_SIGNALING																									0.3184523534868373				0.3184523534868373
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	0.2020359434638153	0.0205876229426282	0.6627100216153843												1.1686840835533288											0.3000879207652096	-0.0800546490400399	1.1686840835533288	0.643811596451764
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_LECTIN	0.3022518246503143	-0.0713421278584395	0.5892011741991348												1.0957972708101489											-0.0687352218142978	-0.101247873556204	-0.559102393695678	1.0957972708101489
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_COAGULATION_CROSSTALK	-0.4873583777399255	-0.4555306999870017	-0.3220655969583369												1.079559418900903											0.3667988269137078	-0.0385061427396443	-0.1584186197031355	1.079559418900903
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_ALTERNATIVE	-0.0404714996380272	0.3720849442675417	0.130834045096689												0.961724494107166											0.2987179578977494	0.1301188306592004	0.961724494107166	0.7048957838255627
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_TERMINAL_MAC	0.7169945504312463	-0.0553864091235507	0.5744464349606124												0.960613721304766											-0.0039671268564699	0.0283417151003333	0.960613721304766	0.7778746537245376
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_CLASSICAL	0.4735556700610808	0.1666802827006261	0.6663628809423575												0.9339565793762142											0.2653474573865672	-0.3581803266020909	0.7159321600271066	0.9339565793762142
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_OPSONOPHAGOCYTOSIS	0.2878657120830686	0.2790208461456774	0.2985457207804661												0.8797041911271781											0.4245595687724989	-0.2481381092563892	0.8797041911271781	0.6237123005145684
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_REGULATORS	-0.1151856694214474	-0.216215191060664	0.001188584768105												0.7446344914912053											0.523732131138319	0.4902339741032377	0.7446344914912053	0.3362592898366689
Figure_3	G	gse280297_primary_matrix						COMPLEMENT_C3A_C5A_SIGNALING	-0.5266738017879126	0.3431704758291174	-0.4971530114341522												0.6066408853550672											0.6066408853550672	-0.1757757683686546	0.0680688980830458	0.3184523534868373
Figure_3	H	decoupling_domains																		mixed				steroid_synthesis	4.0	0.1346352925632706	0.174951911311203	2.0	2.0	0.5	near_neutral	branch_selective_steroid_synthesis: core steroidogenesis and androgen/testosterone biosynthesis are positive, whereas estrogen and cholesterol biosynthesis are negative; do not describe the entire synthesis domain as globally increased	0.1346352925632706				
Figure_3	H	decoupling_domains																		negative				steroid_receptor_response	5.0	-0.8043093611651837	-0.7078938419801899	0.0	5.0	1.0	negative	uniform_receptor_response_attenuation: all five receptor-response programmes are negative across the tissue-collapsed comparison	-0.8043093611651837				
Figure_3	H	decoupling_domains																		negative				metabolic_effector_response	7.0	-0.6759836665295377	-0.7049014274756004	0.0	7.0	1.0	negative	uniform_metabolic_effector_attenuation: insulin/IRS, PI3K-AKT, leptin, transport and carbon-use programmes are negative	-0.6759836665295377				
Figure_3	H	decoupling_domains																		positive				complement_effector_response	4.0	0.3807106910720746	0.2096787014176523	3.0	1.0	0.75	positive	branch_selective_complement_remodeling: classical, terminal-MAC and opsonophagocytosis are positive while C3a/C5a signaling is negative	0.3807106910720746				
