feature_id	display_label	axis
CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	steroid_cholesterol_endocrine
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	steroid_cholesterol_endocrine
STEROIDOGENESIS_CORE	Core steroidogenesis	steroid_cholesterol_endocrine
PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	steroid_cholesterol_endocrine
ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	steroid_cholesterol_endocrine
ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	steroid_cholesterol_endocrine
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	steroid_cholesterol_endocrine
TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	steroid_cholesterol_endocrine
ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine
GLUCOCORTICOID_RESPONSE	Glucocorticoid response	steroid_cholesterol_endocrine
MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	steroid_cholesterol_endocrine
STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	steroid_cholesterol_endocrine
STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	steroid_cholesterol_endocrine
PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	steroid_cholesterol_endocrine
LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	steroid_cholesterol_endocrine
FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	lipid_metabolism
FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	lipid_metabolism
PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	lipid_metabolism
SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	lipid_metabolism
EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	lipid_metabolism
LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	lipid_metabolism
PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	lipid_metabolism
FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	lipid_metabolism
GLYCOLYSIS	Glycolysis	carbohydrate_inflammatory_carbon
GLUCONEOGENESIS	Gluconeogenesis	carbohydrate_inflammatory_carbon
GLYCOGEN_SYNTHESIS	Glycogen synthesis	carbohydrate_inflammatory_carbon
GLYCOGENOLYSIS	Glycogenolysis	carbohydrate_inflammatory_carbon
PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	carbohydrate_inflammatory_carbon
TCA_OXPHOS	TCA cycle and oxidative phosphorylation	carbohydrate_inflammatory_carbon
LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	carbohydrate_inflammatory_carbon
AMPK_SIGNALING	AMPK signaling	carbohydrate_inflammatory_carbon
MTOR_SIGNALING	mTOR signaling	carbohydrate_inflammatory_carbon
GLUCOSE_TRANSPORT	Glucose transport	carbohydrate_inflammatory_carbon
AGE_RAGE_SIGNALING	AGE-RAGE signaling	carbohydrate_inflammatory_carbon
INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	insulin_irs_signaling
PI3K_AKT_SIGNALING	PI3K-AKT signaling	insulin_irs_signaling
MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	insulin_irs_signaling
AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	insulin_irs_signaling
LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling
ADIPONECTIN_SIGNALING	Adiponectin signaling	adipokine_signaling
RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	adipokine_signaling
ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	adipokine_signaling
PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	adipokine_signaling
TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	amino_acid_metabolism
ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism
GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	amino_acid_metabolism
SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	amino_acid_metabolism
METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	amino_acid_metabolism
BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	amino_acid_metabolism
AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	amino_acid_metabolism
AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	catecholamine_stress_adjacent
ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	catecholamine_stress_adjacent
CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	catecholamine_stress_adjacent
PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	nucleotide_nad_nitrogen
PURINE_SALVAGE	Purine salvage	nucleotide_nad_nitrogen
PURINE_DEGRADATION_URATE	Purine degradation and urate	nucleotide_nad_nitrogen
PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	nucleotide_nad_nitrogen
PYRIMIDINE_DEGRADATION	Pyrimidine degradation	nucleotide_nad_nitrogen
NAD_METABOLISM	NAD metabolism	nucleotide_nad_nitrogen
UREA_CYCLE	Urea cycle	nucleotide_nad_nitrogen
NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	nucleotide_nad_nitrogen
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	nucleotide_nad_nitrogen
COMPLEMENT_CLASSICAL	Classical complement pathway	complement_architecture
COMPLEMENT_LECTIN	Lectin complement pathway	complement_architecture
COMPLEMENT_ALTERNATIVE	Alternative complement pathway	complement_architecture
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	complement_architecture
COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	complement_architecture
COMPLEMENT_REGULATORS	Complement regulators	complement_architecture
COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	complement_architecture
COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture
COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture
TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	immune_context_anchors
NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	immune_context_anchors
NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	immune_context_anchors
OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	immune_context_anchors
UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	immune_context_anchors
PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	immune_context_anchors
