dataset	selected_matrix	canonical_matrix	selected_annotation	validated_design
GSE186800	project://03_data_processed/phaseU4b_repaired_matrices/GSE186800_repaired_gene_symbol_matrix.tsv.gz	project://03_data_processed/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_canonical_gene_symbol_expression.tsv.gz	project://07_tables/phaseU4b_repaired_module_scores/GSE186800_repaired_sample_annotation_v1.tsv	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv
GSE112098	project://03_data_processed/phaseU6_human_urine_comparator/GSE112098_series_matrix_repaired_gene_symbol_matrix.tsv.gz	project://03_data_processed/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_canonical_gene_symbol_expression.tsv.gz	project://02_data_raw/GSE112098/matrix/GSE112098_series_matrix.txt.gz	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv
