path	filename	size_bytes	read_error	n_rows	n_columns	feature_column	contrast_column	tissue_column	effect_column	format_type	n_unique_features	n_unique_axes	n_unique_tissues	has_C1	has_C2	has_C3	n_C1_columns	n_C2_columns	n_C3_columns	complement_fraction	candidate_score	eligible_full_source
project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_GSE280297_submodule_coverage.tsv	UTI_HostOmics_U26B1_GSE280297_submodule_coverage.tsv	15384		78	11	submodule_id				ineligible	78	10	0	False	False	False	0	0	0	0.11538461538461539	62.400000000000006	False
project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	28116		154	12	feature_id	contrast_id			ineligible	77	10	0	False	False	False	0	0	0	0.11688311688311688	61.6	False
project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_primary_figure_candidate_ranking.tsv	UTI_HostOmics_U26B1_1_primary_figure_candidate_ranking.tsv	14256		77	14	feature_id				ineligible	77	10	0	False	False	False	0	0	0	0.11688311688311688	61.6	False
project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_figure_candidate_ranking.tsv	UTI_HostOmics_U26B1_figure_candidate_ranking.tsv	12018		77	10	feature_id				ineligible	77	10	0	False	False	False	0	0	0	0.11688311688311688	61.6	False
project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_axis_permutation_results.tsv	UTI_HostOmics_U26B1_1_axis_permutation_results.tsv	20122		70	19		contrast_id	tissue	hedges_g	ineligible	0	10	3	False	False	False	0	0	0	0.1	24.0	False
project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_axis_contrast_summary.tsv	UTI_HostOmics_U26B1_axis_contrast_summary.tsv	12803		110	9		contrast_id	tissue		ineligible	0	11	3	False	False	False	0	0	0	0.09090909090909091	24.0	False
project://03_metadata/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_axis_score_definitions.tsv	UTI_HostOmics_U26B1_1_axis_score_definitions.tsv	2649		10	5					ineligible	0	10	0	False	False	False	0	0	0	0.1	0.0	False
project://03_metadata/phaseU26B1_1_GSE280297_stability_refinement/GSE280297_U26B1_1_axis_scores.tsv.gz	GSE280297_U26B1_1_axis_scores.tsv.gz	6817		60	18			tissue		ineligible	0	0	3	False	False	False	0	0	0	0.0	-26.0	False
project://03_metadata/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_composite_index_blueprints.tsv	UTI_HostOmics_U26B1_composite_index_blueprints.tsv	2256		4	8					ineligible	0	0	0	False	False	False	0	0	0	0.0	-50.0	False
project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_10_primary_effect_matrix.tsv	UTI_HostOmics_U26B1_1_Figure_10_primary_effect_matrix.tsv	1695		9	8	feature_id				wide	9	0	0	True	True	True	3	3	1	1.0	-67.80000000000001	False
project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_10_effect_size_matrix.tsv	UTI_HostOmics_U26B1_Figure_10_effect_size_matrix.tsv	2388		9	11	feature_id				wide	9	0	0	True	True	True	3	3	1	1.0	-67.80000000000001	False
project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_phase_decision.tsv	UTI_HostOmics_U26B1_1_phase_decision.tsv	560		1	15					ineligible	0	0	0	False	False	False	0	0	0	0.0	-150.0	False
project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_phase_decision.tsv	UTI_HostOmics_U26B1_phase_decision.tsv	433		1	13					ineligible	0	0	0	False	False	False	0	0	0	0.0	-150.0	False
