feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder
ADIPOKINE_INFLAMMATORY_AXIS	-0.2537689491728889	0.7397917521344026	-0.3514870479535067	0.6672525214832966	0.2353752347036881	-0.937365683597475	-0.1526424164857431
ADIPONECTIN_SIGNALING	-1.0885162443443697	-0.2392206686071992	0.1569916334552669	0.167177944205993	-0.3492990624671305	0.0049739763178469	-0.0037314644101669
ADRENERGIC_STRESS_SIGNALING	-0.9815447317630288	0.0089207657549558	-0.459976279309689	-0.4202849029495351	-0.6012036553295511	0.1537908308672002	0.7789073060845944
AGE_RAGE_SIGNALING	-0.4817044088618192	0.3804541012329345	-0.0415273486691742	0.6560046769717482	-0.2182608845677418	-0.2087355514975391	-0.0913409461365935
AMINO_ACID_TRANSPORT	-0.9110329763420932	-0.4126434491982289	-1.0527503025877167	0.296460616488545	-0.0778555504629274	-0.310337724969468	0.6532124426145993
AMPK_INSULIN_COUNTERREGULATION	-0.744315365082096	-0.3042971240102138	-0.3017039718146977	0.1431634392663947	-0.4232120891357079	0.7077309735966928	0.5045740726586657
AMPK_SIGNALING	-0.8122601070381932	-0.0740190289277175	0.2867291244533483	0.3936415091050061	-0.584243297934736	0.938124875763557	0.5303538899217222
ANDROGEN_RECEPTOR_SIGNALING	-1.0188848639899222	-0.5687758189028331	-0.8043093611651837	-0.0318886212720643	0.0071667134795168	0.5712311994970121	0.6400152632410199
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	0.5120363485796444	0.061356505798345	1.4716923478785662	0.3327292638980083	-0.2572233320109406	-0.9779976514567984	-0.0897072273727051
ARGININE_NO_UREA	-0.4660615902556366	-0.1685339223966387	0.0918537878557965	0.2822793810300354	-0.3257433984221691	-0.330263936679599	0.7359283512934944
AROMATIC_AMINO_ACID_METABOLISM	-0.2219141800002392	-0.4867605660930194	0.2497445629794132	-0.0859352267459318	-0.18037601683492	0.6572045781604307	0.727493669092695
BRANCHED_CHAIN_AMINO_ACIDS	-0.2217901100176466	-0.0448427189916254	0.1154466714719366	0.0684472456905793	-0.6125112791978754	0.9393602518520584	0.3758826101230741
