final_figure	panel	panel_key	source_id	rank	candidate_score	candidate_path	candidate_filename	candidate_phase	candidate_columns	schema_read_error
Figure_1	C	Figure_1C	contrast_manifest	3	17.0	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	GSE112098_U26B2A1_validated_sample_design.tsv	phaseU26B2A1_cross_dataset_input_repair	sample_id;annotation_row_matched;sample_geo_accession;status;submission_date;last_update_date;type;channel_count;source_name_ch1;organism_ch1;characteristics_ch1;treatment_protocol_ch1;molecule_ch1;extract_protocol_ch1;label_ch1;label_protocol_ch1;taxid_ch1;hyb_protocol;scan_protocol;description;data_processing;platform_id;contact_name;contact_email;contact_phone;contact_department;contact_institute;contact_address;contact_city;contact_state;contact_zip/postal_code;contact_country;supplementary_file;data_row_count	
Figure_1	C	Figure_1C	contrast_manifest	4	17.0	project://03_metadata/phaseU26A2_GSE280297_identifier_design_resolution/GSE280297_U26A2_deduplicated_sample_design.tsv	GSE280297_U26A2_deduplicated_sample_design.tsv	phaseU26A2_GSE280297_identifier_design_resolution	sample_id;gsm_accession;tissue;treatment;outcome;pregnancy_status;dam_id;metadata_confidence;unresolved_required_fields;n_evidence_records;evidence_sources	
Figure_1	C	Figure_1C	contrast_manifest	5	17.0	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	GSE186800_U26B2A1_validated_sample_design.tsv	phaseU26B2A1_cross_dataset_input_repair	sample_id;annotation_row_matched;dataset_id;inferred_group;inferred_block;source	
Figure_1	C	Figure_1C	contrast_manifest	6	17.0	project://06_tables/phaseU26A5_GSE280297_final_input_resolution/UTI_HostOmics_U26A5_GSE280297_contrast_blueprint.tsv	UTI_HostOmics_U26A5_GSE280297_contrast_blueprint.tsv	phaseU26A5_GSE280297_final_input_resolution	contrast_id;analysis_scope;comparison;eligible_tissues;primary_statistics;status	
Figure_1	C	Figure_1C	contrast_manifest	7	16.0	project://03_metadata/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_visual_grammar_manifest.tsv	UTI_HostOmics_U27A3_visual_grammar_manifest.tsv	phaseU27A3_visual_diversity_redesign	figure;panel;visual_grammar	
Figure_1	C	Figure_1C	contrast_manifest	8	15.0	project://03_metadata/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_sparse_matrix_manifest.tsv	UTI_HostOmics_U26D1A_sparse_matrix_manifest.tsv	phaseU26D1A_GSE252321_flat_matrix_validation	sample_id;condition;replicate;source_path;sparse_matrix_path;genes_path;cell_metadata_path;n_cells;n_genes;scale_class	
Figure_1	D	Figure_1D	U26A_module_dictionary	1	78.0	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	UTI_HostOmics_U26A_expanded_submodule_library.tsv	phaseU26A_expanded_endocrine_metabolic_immune_feasibility	axis;submodule_id;display_label;n_genes;genes;biological_readout;priority_weight;proposed_figure_family	
Figure_1	D	Figure_1D	U26A_module_dictionary	2	63.5	project://06_tables/phaseU26A5_GSE280297_final_input_resolution/UTI_HostOmics_U26A5_GSE280297_submodule_coverage.tsv	UTI_HostOmics_U26A5_GSE280297_submodule_coverage.tsv	phaseU26A5_GSE280297_final_input_resolution	axis;submodule_id;display_label;n_library_genes;n_detected_genes;coverage_fraction;coverage_class;detected_genes	
Figure_1	D	Figure_1D	U26A_module_dictionary	3	63.5	project://06_tables/phaseU26A4_GSE280297_established_asset_validation/UTI_HostOmics_U26A4_GSE280297_submodule_coverage.tsv	UTI_HostOmics_U26A4_GSE280297_submodule_coverage.tsv	phaseU26A4_GSE280297_established_asset_validation	axis;submodule_id;display_label;n_library_genes;n_detected_genes;coverage_fraction;coverage_class;detected_genes	
Figure_1	D	Figure_1D	U26A_module_dictionary	4	63.0	project://06_tables/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_submodule_coverage_by_dataset.tsv	UTI_HostOmics_U26A_submodule_coverage_by_dataset.tsv	phaseU26A_expanded_endocrine_metabolic_immune_feasibility	dataset;dataset_label;layer;axis;submodule_id;display_label;n_module_genes;n_detected;coverage_fraction;coverage_class;detected_genes;missing_genes;proposed_figure_family	
Figure_1	D	Figure_1D	U26A_module_dictionary	5	63.0	project://06_tables/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_submodule_figure_priority.tsv	UTI_HostOmics_U26A_submodule_figure_priority.tsv	phaseU26A_expanded_endocrine_metabolic_immune_feasibility	axis;submodule_id;display_label;adequate_bulk_datasets;partial_bulk_datasets;single_cell_coverage;mean_coverage_fraction;priority_weight;proposed_figure_family;figure_recommendation	
