figure_number	style	alignment	run_count	prefix_bold	body_bold	prefix_color	body_color	caption_character_count
1	Normal	JUSTIFY (3)	2	True	False	000000	000000	1931
2	Normal	JUSTIFY (3)	2	True	False	000000	000000	1681
3	Normal	JUSTIFY (3)	2	True	False	000000	000000	1736
4	Normal	JUSTIFY (3)	2	True	False	000000	000000	1778
5	Normal	JUSTIFY (3)	2	True	False	000000	000000	1584
6	Normal	JUSTIFY (3)	2	True	False	000000	000000	1368
7	Normal	JUSTIFY (3)	2	True	False	000000	000000	1398
8	Normal	JUSTIFY (3)	2	True	False	000000	000000	1065
