population_level	population	sample_id	condition	n_cells	library_size	detected_genes	complete_four_sample_population
refined_subtype	RETNLA_MRC1_reparative_macrophage	GSM7999428_UPEC_1	UPEC	268	725898.0	12946	True
refined_subtype	S100A8_S100A9_neutrophil	GSM7999428_UPEC_1	UPEC	1086	3496693.0	14693	False
refined_subtype	XCR1_CLEC9A_cDC1_like	GSM7999428_UPEC_1	UPEC	170	755240.0	12191	True
refined_subtype	conventional_activated_T	GSM7999428_UPEC_1	UPEC	236	782450.0	12787	True
refined_subtype	cytotoxic_NK	GSM7999428_UPEC_1	UPEC	107	354921.0	11229	True
refined_subtype	gamma_delta_like_T	GSM7999428_UPEC_1	UPEC	67	222074.0	10458	True
broad_cell_type	NK_cell	GSM7999429_UPEC_2	UPEC	277	1086362.0	13356	True
broad_cell_type	T_cell	GSM7999429_UPEC_2	UPEC	625	2537380.0	15457	True
broad_cell_type	cycling_immune	GSM7999429_UPEC_2	UPEC	153	1327466.0	14125	True
broad_cell_type	dendritic	GSM7999429_UPEC_2	UPEC	1119	6618230.0	16655	True
broad_cell_type	macrophage_monocyte	GSM7999429_UPEC_2	UPEC	2809	16208055.0	18516	True
broad_cell_type	neutrophil	GSM7999429_UPEC_2	UPEC	919	3865108.0	15584	True
refined_subtype	ARG1_SPP1_inflammatory_macrophage	GSM7999429_UPEC_2	UPEC	378	2444662.0	14579	False
refined_subtype	C1Q_APOE_resident_macrophage	GSM7999429_UPEC_2	UPEC	624	3211815.0	15364	True
refined_subtype	CD209A_CLEC10A_cDC2_like	GSM7999429_UPEC_2	UPEC	312	1611422.0	13788	True
refined_subtype	CD83_CLEC10A_activated_dendritic	GSM7999429_UPEC_2	UPEC	597	3372033.0	15273	True
refined_subtype	GZMA_GZMB_cytotoxic_NK	GSM7999429_UPEC_2	UPEC	170	619503.0	12173	True
refined_subtype	IL1B_CXCL2_inflammatory_neutrophil	GSM7999429_UPEC_2	UPEC	385	1717086.0	14191	True
refined_subtype	IL2RA_TNFRSF18_regulatory_type2_like_T	GSM7999429_UPEC_2	UPEC	247	960917.0	13456	True
refined_subtype	LY6C2_VCAN_inflammatory_monocyte	GSM7999429_UPEC_2	UPEC	1037	5236643.0	16667	True
refined_subtype	MKI67_TOP2A_cycling_immune	GSM7999429_UPEC_2	UPEC	153	1327466.0	14125	True
refined_subtype	PF4_MRC1_C1Q_macrophage	GSM7999429_UPEC_2	UPEC	494	3527541.0	15062	True
refined_subtype	RETNLA_MRC1_reparative_macrophage	GSM7999429_UPEC_2	UPEC	276	1787394.0	15200	True
refined_subtype	S100A8_S100A9_neutrophil	GSM7999429_UPEC_2	UPEC	534	2148022.0	14102	False
refined_subtype	XCR1_CLEC9A_cDC1_like	GSM7999429_UPEC_2	UPEC	210	1634775.0	13642	True
refined_subtype	conventional_activated_T	GSM7999429_UPEC_2	UPEC	267	1013752.0	13418	True
refined_subtype	cytotoxic_NK	GSM7999429_UPEC_2	UPEC	101	421545.0	11568	True
refined_subtype	gamma_delta_like_T	GSM7999429_UPEC_2	UPEC	111	562711.0	12301	True
