feature_id	display_label	axis	proposed_figure_family	n_complete_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	dominant_direction	top_absolute_effect_population	top_absolute_effect_hedges_g	top_positive_population	top_positive_hedges_g	top_negative_population	top_negative_hedges_g	median_effect	median_absolute_effect	n_populations_abs_g_ge_0_5	n_populations_abs_g_ge_0_8	median_gene_direction_coherence	biological_priority	manuscript_claim_priority	refined_infection_outcome_relation	is_predefined_focus_module
PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	immune_context_anchors	Integrated_network	6	6	0	1.0	higher_in_UPEC	NK_cell	3.4885634486459174	NK_cell	3.4885634486459174			1.6227325863289275	1.6227325863289275	6	6	0.9166666666666666				True
NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	immune_context_anchors	Integrated_network	6	6	0	1.0	higher_in_UPEC	cycling_immune	1.9733950219747316	cycling_immune	1.9733950219747316			1.590564936778961	1.590564936778961	6	6	0.9285714285714286				True
RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	adipokine_signaling	Figure_8	6	6	0	1.0	higher_in_UPEC	NK_cell	3.699888747131938	NK_cell	3.699888747131938			1.4429441797124762	1.4429441797124762	6	6	0.8636363636363636				True
LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	carbohydrate_inflammatory_carbon	Figure_8	6	6	0	1.0	higher_in_UPEC	T_cell	2.5044198669699513	T_cell	2.5044198669699513			1.1923993348809732	1.1923993348809732	6	6	0.8666666666666667				True
NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	nucleotide_nad_nitrogen	Figure_9	6	5	1	0.8333333333333334	higher_in_UPEC	cycling_immune	5.491838149233155	cycling_immune	5.491838149233155	neutrophil	-0.06912862110393102	2.624765583999005	2.624765583999005	5	5	0.6666666666666666				True
ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism	Figure_9	6	6	0	1.0	higher_in_UPEC	dendritic	6.359323037957078	dendritic	6.359323037957078			2.140670675602966	2.140670675602966	5	5	0.75				True
LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	Figure_8	6	5	1	0.8333333333333334	higher_in_UPEC	macrophage_monocyte	5.159261838765042	macrophage_monocyte	5.159261838765042	neutrophil	-0.062071371326985994	1.301263465245026	1.301263465245026	5	5	0.6818181818181819	robust_core	primary_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
GLUCOCORTICOID_RESPONSE	Glucocorticoid response	steroid_cholesterol_endocrine	Figure_7	6	6	0	1.0	higher_in_UPEC	T_cell	3.4772063482482642	T_cell	3.4772063482482642			1.3275360812656913	1.3275360812656913	5	4	0.8636363636363636				True
GLYCOGEN_SYNTHESIS	Glycogen synthesis	carbohydrate_inflammatory_carbon	Figure_8	6	6	0	1.0	higher_in_UPEC	neutrophil	2.610410898595803	neutrophil	2.610410898595803			1.1922225519390337	1.1922225519390337	4	4	0.7857142857142857	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	immune_context_anchors	Integrated_network	6	6	0	1.0	higher_in_UPEC	NK_cell	2.2560944867045607	NK_cell	2.2560944867045607			1.1911747900501155	1.1911747900501155	6	4	0.8333333333333334				True
FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	lipid_metabolism	Figure_7	6	5	1	0.8333333333333334	higher_in_UPEC	NK_cell	28.218150045310868	NK_cell	28.218150045310868	neutrophil	-0.17264109785587847	1.1573736282441118	1.1573736282441118	4	4	0.6666666666666666				True
GLYCOLYSIS	Glycolysis	carbohydrate_inflammatory_carbon	Figure_8	6	5	1	0.8333333333333334	higher_in_UPEC	dendritic	2.23226688002657	dendritic	2.23226688002657	neutrophil	-0.11487012708466506	1.1179488800721933	1.1179488800721933	4	4	0.6875				True
COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	Figure_10	6	6	0	1.0	higher_in_UPEC	dendritic	1.2782088185778975	dendritic	1.2782088185778975			1.0562175995817127	1.0562175995817127	6	4	0.9	provisional_core_exploratory_dependent	secondary_result_pending_celltype_reconstruction_with_state_dependent_reversal	direction_reversal	True
INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	insulin_irs_signaling	Figure_8	6	6	0	1.0	higher_in_UPEC	NK_cell	1.3985257466357064	NK_cell	1.3985257466357064			0.956672190626557	0.956672190626557	4	4	0.7941176470588235	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
STEROIDOGENESIS_CORE	Core steroidogenesis	steroid_cholesterol_endocrine	Figure_7	6	2	4	0.6666666666666666	lower_in_UPEC	cycling_immune	2.963924403071255	cycling_immune	2.963924403071255	neutrophil	-1.81144598579175	-0.4084548837487718	0.8043306105102216	3	3	0.6666666666666666				True
