feature_id	display_label	axis	proposed_figure_family	n_complete_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	dominant_direction	top_absolute_effect_population	top_absolute_effect_hedges_g	top_positive_population	top_positive_hedges_g	top_negative_population	top_negative_hedges_g	median_effect	median_absolute_effect	n_populations_abs_g_ge_0_5	n_populations_abs_g_ge_0_8	median_gene_direction_coherence
PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	immune_context_anchors	Integrated_network	14	14	0	1.0	higher_in_UPEC	C1Q_APOE_resident_macrophage	4.051422851084177	C1Q_APOE_resident_macrophage	4.051422851084177			1.5166885251540205	1.5166885251540205	14	14	0.8333333333333334
RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	adipokine_signaling	Figure_8	14	14	0	1.0	higher_in_UPEC	GZMA_GZMB_cytotoxic_NK	8.361569856980486	GZMA_GZMB_cytotoxic_NK	8.361569856980486			1.3799989375125457	1.3799989375125457	14	14	0.8181818181818182
ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism	Figure_9	14	14	0	1.0	higher_in_UPEC	CD83_CLEC10A_activated_dendritic	10.89274737614489	CD83_CLEC10A_activated_dendritic	10.89274737614489			2.2116312102977007	2.2116312102977007	13	13	0.75
ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	adipokine_signaling	Figure_8	14	14	0	1.0	higher_in_UPEC	C1Q_APOE_resident_macrophage	5.598959025405979	C1Q_APOE_resident_macrophage	5.598959025405979			1.7116575055746788	1.7116575055746788	14	13	0.9
NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	immune_context_anchors	Integrated_network	14	14	0	1.0	higher_in_UPEC	LY6C2_VCAN_inflammatory_monocyte	3.23843075851669	LY6C2_VCAN_inflammatory_monocyte	3.23843075851669			1.3032560670884865	1.3032560670884865	14	12	0.8928571428571428
COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	Figure_10	14	14	0	1.0	higher_in_UPEC	LY6C2_VCAN_inflammatory_monocyte	1.9563600018150962	LY6C2_VCAN_inflammatory_monocyte	1.9563600018150962			1.2806917510889613	1.2806917510889613	14	12	0.9
LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	carbohydrate_inflammatory_carbon	Figure_8	14	14	0	1.0	higher_in_UPEC	IL2RA_TNFRSF18_regulatory_type2_like_T	10.961108002354283	IL2RA_TNFRSF18_regulatory_type2_like_T	10.961108002354283			1.2458784324944978	1.2458784324944978	13	12	0.8
NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	nucleotide_nad_nitrogen	Figure_9	14	13	1	0.9285714285714286	higher_in_UPEC	cytotoxic_NK	7.501674318796742	cytotoxic_NK	7.501674318796742	IL1B_CXCL2_inflammatory_neutrophil	-0.034881197938579946	1.5644422789392536	1.5644422789392536	12	11	0.6666666666666666
ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	catecholamine_stress_adjacent	Figure_9	14	8	6	0.5714285714285714	higher_in_UPEC	CD83_CLEC10A_activated_dendritic	-3.927175151115599	XCR1_CLEC9A_cDC1_like	2.356603694184974	CD83_CLEC10A_activated_dendritic	-3.927175151115599	0.2598360190858118	1.400348413638692	12	11	0.7
COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	complement_architecture	Figure_10	14	12	2	0.8571428571428571	higher_in_UPEC	IL2RA_TNFRSF18_regulatory_type2_like_T	4.320113873544996	IL2RA_TNFRSF18_regulatory_type2_like_T	4.320113873544996	IL1B_CXCL2_inflammatory_neutrophil	-0.40143061348471326	1.3708017917531405	1.3708017917531405	11	11	0.8
LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	Figure_8	14	14	0	1.0	higher_in_UPEC	LY6C2_VCAN_inflammatory_monocyte	5.733785425816113	LY6C2_VCAN_inflammatory_monocyte	5.733785425816113			1.2874852641609777	1.2874852641609777	13	11	0.7272727272727273
NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	immune_context_anchors	Integrated_network	14	14	0	1.0	higher_in_UPEC	GZMA_GZMB_cytotoxic_NK	12.669392498436116	GZMA_GZMB_cytotoxic_NK	12.669392498436116			1.0580972108631186	1.0580972108631186	14	11	0.8333333333333334
AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism	Figure_9	14	13	1	0.9285714285714286	higher_in_UPEC	C1Q_APOE_resident_macrophage	6.285199535383807	C1Q_APOE_resident_macrophage	6.285199535383807	IL1B_CXCL2_inflammatory_neutrophil	-0.3131951064187726	1.389580411952121	1.389580411952121	11	10	0.6818181818181819
FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	lipid_metabolism	Figure_7	14	7	7	0.5	mixed	IL2RA_TNFRSF18_regulatory_type2_like_T	2.549043189743969	IL2RA_TNFRSF18_regulatory_type2_like_T	2.549043189743969	IL1B_CXCL2_inflammatory_neutrophil	-1.2038906916760537	0.01565480264851983	1.157251531168063	11	10	0.7083333333333333
GLYCOLYSIS	Glycolysis	carbohydrate_inflammatory_carbon	Figure_8	14	11	3	0.7857142857142857	higher_in_UPEC	C1Q_APOE_resident_macrophage	2.874540859955254	C1Q_APOE_resident_macrophage	2.874540859955254	CD209A_CLEC10A_cDC2_like	-0.58264368407659	1.2795208134232519	1.2795208134232519	10	9	0.625
GLUCOCORTICOID_RESPONSE	Glucocorticoid response	steroid_cholesterol_endocrine	Figure_7	14	14	0	1.0	higher_in_UPEC	XCR1_CLEC9A_cDC1_like	2.630044070910185	XCR1_CLEC9A_cDC1_like	2.630044070910185			1.0121415819264141	1.0121415819264141	10	9	0.7272727272727273
SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	amino_acid_metabolism	Figure_9	14	8	6	0.5714285714285714	higher_in_UPEC	MKI67_TOP2A_cycling_immune	5.770176508571884	MKI67_TOP2A_cycling_immune	5.770176508571884	PF4_MRC1_C1Q_macrophage	-1.811039831925874	0.33672847511244663	0.9938844239330681	10	9	0.7307692307692308
GLUCOSE_TRANSPORT	Glucose transport	carbohydrate_inflammatory_carbon	Figure_8	14	13	1	0.9285714285714286	higher_in_UPEC	MKI67_TOP2A_cycling_immune	3.516225051743609	MKI67_TOP2A_cycling_immune	3.516225051743609	CD83_CLEC10A_activated_dendritic	-0.31259573957180387	0.9848118869260802	0.9848118869260802	11	9	0.75
PURINE_SALVAGE	Purine salvage	nucleotide_nad_nitrogen	Figure_9	14	13	1	0.9285714285714286	higher_in_UPEC	IL2RA_TNFRSF18_regulatory_type2_like_T	37.63524140274491	IL2RA_TNFRSF18_regulatory_type2_like_T	37.63524140274491	PF4_MRC1_C1Q_macrophage	-0.2139258788943307	1.5772428042355768	1.5772428042355768	13	8	0.7
PURINE_DEGRADATION_URATE	Purine degradation and urate	nucleotide_nad_nitrogen	Figure_9	14	12	2	0.8571428571428571	higher_in_UPEC	CD209A_CLEC10A_cDC2_like	6.344947484792826	CD209A_CLEC10A_cDC2_like	6.344947484792826	C1Q_APOE_resident_macrophage	-0.25173750157021885	1.5142681505527003	1.5142681505527003	9	8	0.7222222222222222
