population_level	population	feature_id	display_label	axis	proposed_figure_family	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	direction	exact_permutation_q_within_population
broad_cell_type	NK_cell	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	adipokine_signaling	Figure_8	13	10	0.7692307692307693	True	-0.4190197375738054	0.4190197375738057	0.838039475147611	1.7372518761620919	0.3333333333333333	1.1070630553555074	1.3659884254390637	0.8	0.2	0.8	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	ADIPONECTIN_SIGNALING	Adiponectin signaling	adipokine_signaling	Figure_8	11	8	0.7272727272727273	True	-0.03572867411642655	0.03572867411642716	0.07145734823285371	0.06844779007642011	1.0	-0.05269725312505383	0.023364135059423585	0.5	0.5	0.5	higher_in_UPEC	1.0
broad_cell_type	NK_cell	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	catecholamine_stress_adjacent	Figure_9	15	10	0.6666666666666666	True	0.03607143769879562	-0.03607143769879459	-0.0721428753975902	-0.2567189737399907	1.0	-0.1058173900290769	-0.053267293322153186	0.4	0.6	0.6	lower_in_UPEC	1.0
broad_cell_type	NK_cell	AGE_RAGE_SIGNALING	AGE-RAGE signaling	carbohydrate_inflammatory_carbon	Figure_8	16	14	0.875	True	-0.4062193418210958	0.406219341821096	0.8124386836421917	1.0178091798088322	0.3333333333333333	0.9038426199882894	0.249954368310497	0.7142857142857143	0.2857142857142857	0.7142857142857143	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism	Figure_9	14	11	0.7857142857142857	True	-0.468702618855721	0.46870261885572173	0.9374052377114428	1.8778695816079718	0.3333333333333333	0.7513013470252585	0.4744100811250309	0.8181818181818182	0.18181818181818182	0.8181818181818182	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	insulin_irs_signaling	Figure_8	10	9	0.9	True	-0.30716346554483626	0.30716346554483664	0.6143269310896728	1.5727870839748825	0.3333333333333333	0.33883905747661003	0.4533207281063203	0.7777777777777778	0.2222222222222222	0.7777777777777778	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	AMPK_SIGNALING	AMPK signaling	carbohydrate_inflammatory_carbon	Figure_8	15	12	0.8	True	-0.21603036481886823	0.2160303648188693	0.43206072963773756	0.6652574463927773	0.6666666666666666	0.2370568827961456	0.21587063520875693	0.75	0.25	0.75	higher_in_UPEC	0.7978142076502732
broad_cell_type	NK_cell	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine	Figure_7	11	10	0.9090909090909091	True	-0.3336265128531356	0.3336265128531356	0.6672530257062712	0.9082311865403173	0.3333333333333333	0.23438674362373096	0.23208375515754787	0.7	0.3	0.7	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	steroid_cholesterol_endocrine	Figure_7	9	4	0.4444444444444444	False											not_scored	
broad_cell_type	NK_cell	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism	Figure_9	16	12	0.75	True	-0.2612542578465471	0.26125425784654643	0.5225085156930935	1.9082309140114009	0.3333333333333333	0.744100351683835	0.9226962316810163	0.6666666666666666	0.3333333333333333	0.6666666666666666	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	amino_acid_metabolism	Figure_9	13	6	0.46153846153846156	True	0.5403212068229865	-0.5403212068229863	-1.0806424136459727	-1.367542452026956	0.3333333333333333	-0.8756465985362664	-0.5336693176893466	0.0	1.0	1.0	lower_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	amino_acid_metabolism	Figure_9	12	12	1.0	True	-0.024302739199162815	0.024302739199164765	0.04860547839832758	0.04953108133639756	1.0	0.07813083810644283	-0.05600724018865266	0.5	0.5	0.5	higher_in_UPEC	1.0
broad_cell_type	NK_cell	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	catecholamine_stress_adjacent	Figure_9	13	10	0.7692307692307693	True	0.09183438146092716	-0.0918343814609271	-0.18366876292185425	-0.3154542518434704	1.0	-0.17292150352071686	-0.15835005336750718	0.5	0.5	0.5	lower_in_UPEC	1.0
broad_cell_type	NK_cell	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	catecholamine_stress_adjacent	Figure_9	15	14	0.9333333333333333	True	-0.2333828448146277	0.2333828448146283	0.466765689629256	0.6523703542571534	0.6666666666666666	0.8789157463174633	0.30689248097035815	0.6428571428571429	0.35714285714285715	0.6428571428571429	higher_in_UPEC	0.7978142076502732
broad_cell_type	NK_cell	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	steroid_cholesterol_endocrine	Figure_7	19	18	0.9473684210526315	True	0.30211646735794817	-0.30211646735794867	-0.6042329347158968	-0.9089103348965825	0.3333333333333333	-0.3132291083365098	-0.17724718351390312	0.2222222222222222	0.7777777777777778	0.7777777777777778	lower_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	steroid_cholesterol_endocrine	Figure_7	19	16	0.8421052631578947	True	-0.1975590788043941	0.19755907880439355	0.39511815760878766	0.76939398124111	0.3333333333333333	0.26187836636157913	0.3646889754645799	0.625	0.375	0.625	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	complement_architecture	Figure_10	11	5	0.45454545454545453	True	-0.09888279229480623	0.09888279229480716	0.1977655845896134	0.34378166025933626	1.0	0.5142198359538385	0.4533207281063203	0.6	0.4	0.6	higher_in_UPEC	1.0
broad_cell_type	NK_cell	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	Figure_10	12	10	0.8333333333333334	True	-0.5865626211361246	0.5865626211361203	1.173125242272245	0.9680806204399348	0.3333333333333333	1.540660439219226	1.8569118544363827	0.9	0.1	0.9	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	complement_architecture	Figure_10	10	7	0.7	True	0.06060885189080335	-0.06060885189080264	-0.12121770378160598	-0.8540158028291513	0.3333333333333333	0.3341886476146315	-0.33916052225425786	0.42857142857142855	0.5714285714285714	0.5714285714285714	lower_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	COMPLEMENT_CLASSICAL	Classical complement pathway	complement_architecture	Figure_10	10	8	0.8	True	0.132540233430322	-0.13254023343032206	-0.26508046686064407	-0.20319050166618957	1.0	-0.004387701270059774	-0.3391605222542579	0.25	0.75	0.75	lower_in_UPEC	1.0
broad_cell_type	NK_cell	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	complement_architecture	Figure_10	16	10	0.625	True	-0.15258921829324573	0.15258921829324584	0.3051784365864916	1.8647788888003363	0.3333333333333333	0.38918926014069266	0.7502795279313401	0.7	0.3	0.7	higher_in_UPEC	0.6239316239316239
broad_cell_type	NK_cell	COMPLEMENT_LECTIN	Lectin complement pathway	complement_architecture	Figure_10	12	4	0.3333333333333333	False											not_scored	
broad_cell_type	NK_cell	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture	Figure_10	14	8	0.5714285714285714	True	0.12343943318645977	-0.12343943318645967	-0.24687886637291945	-0.3625571228535122	0.6666666666666666	0.022832520487891278	-0.3467957998464377	0.375	0.625	0.625	lower_in_UPEC	0.7978142076502732
broad_cell_type	NK_cell	COMPLEMENT_REGULATORS	Complement regulators	complement_architecture	Figure_10	12	5	0.4166666666666667	True	-0.022378861719046697	0.022378861719046725	0.04475772343809342	0.11198284816741215	1.0	-0.10870565515328363	0.2255329883463837	0.6	0.4	0.6	higher_in_UPEC	1.0
broad_cell_type	NK_cell	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	complement_architecture	Figure_10	10	3	0.3	False											not_scored	
