supplementary_table	column_position	column_name	column_origin
S1	1	_supplementary_table	provenance
S1	2	_table_title	provenance
S1	3	_source_order	provenance
S1	4	_source_role	provenance
S1	5	_source_file	provenance
S1	6	_source_relative_path	provenance
S1	7	_source_sha256	provenance
S1	8	_source_row_number	provenance
S1	9	sample_id	source_union
S1	10	condition	source_union
S1	11	source_matrix	source_union
S1	12	source_scale_class	source_union
S1	13	n_cell_columns	source_union
S1	14	analysis_unit	source_union
S1	15	annotation_row_matched	source_union
S1	16	sample_geo_accession	source_union
S1	17	status	source_union
S1	18	submission_date	source_union
S1	19	last_update_date	source_union
S1	20	type	source_union
S1	21	channel_count	source_union
S1	22	source_name_ch1	source_union
S1	23	organism_ch1	source_union
S1	24	characteristics_ch1	source_union
S1	25	treatment_protocol_ch1	source_union
S1	26	molecule_ch1	source_union
S1	27	extract_protocol_ch1	source_union
S1	28	label_ch1	source_union
S1	29	label_protocol_ch1	source_union
S1	30	taxid_ch1	source_union
S1	31	hyb_protocol	source_union
S1	32	scan_protocol	source_union
S1	33	description	source_union
S1	34	data_processing	source_union
S1	35	platform_id	source_union
S1	36	contact_name	source_union
S1	37	contact_email	source_union
S1	38	contact_phone	source_union
S1	39	contact_department	source_union
S1	40	contact_institute	source_union
S1	41	contact_address	source_union
S1	42	contact_city	source_union
S1	43	contact_state	source_union
S1	44	contact_zip/postal_code	source_union
S1	45	contact_country	source_union
S1	46	supplementary_file	source_union
S1	47	data_row_count	source_union
S1	48	dataset_id	source_union
S1	49	inferred_group	source_union
S1	50	inferred_block	source_union
S1	51	source	source_union
S1	52	tissue	source_union
S1	53	treatment	source_union
S1	54	primary_exposure	source_union
S1	55	outcome	source_union
S1	56	pregnancy_status	source_union
S1	57	sex	source_union
S1	58	dam_id	source_union
S1	59	unresolved_required_fields	source_union
S1	60	source_annotation_text	source_union
S2	1	_supplementary_table	provenance
S2	2	_table_title	provenance
S2	3	_source_order	provenance
S2	4	_source_role	provenance
S2	5	_source_file	provenance
S2	6	_source_relative_path	provenance
S2	7	_source_sha256	provenance
S2	8	_source_row_number	provenance
S2	9	axis	source_union
S2	10	submodule_id	source_union
S2	11	display_label	source_union
S2	12	n_genes	source_union
S2	13	genes	source_union
S2	14	biological_readout	source_union
S2	15	priority_weight	source_union
S2	16	proposed_figure_family	source_union
S3	1	_supplementary_table	provenance
S3	2	_table_title	provenance
S3	3	_source_order	provenance
S3	4	_source_role	provenance
S3	5	_source_file	provenance
S3	6	_source_relative_path	provenance
S3	7	_source_sha256	provenance
S3	8	_source_row_number	provenance
S3	9	dataset_id	source_union
S3	10	contrast_name	source_union
S3	11	module_name	source_union
S3	12	group_a	source_union
S3	13	group_b	source_union
S3	14	n_group_a	source_union
S3	15	n_group_b	source_union
S3	16	mean_group_a	source_union
S3	17	mean_group_b	source_union
S3	18	delta_group_a_minus_group_b	source_union
S3	19	cohens_d	source_union
S3	20	welch_t	source_union
S3	21	p_value	source_union
S3	22	fdr_bh	source_union
S3	23	direction	source_union
S3	24	contrast_id	source_union
S3	25	tissue	source_union
S3	26	analysis_status	source_union
S3	27	feature_type	source_union
S3	28	axis	source_union
S3	29	feature_id	source_union
S3	30	display_label	source_union
S3	31	proposed_figure_family	source_union
S3	32	mean_difference_a_minus_b	source_union
S3	33	hedges_g	source_union
S3	34	hedges_g_ci_low	source_union
S3	35	hedges_g_ci_high	source_union
S3	36	auc_group_a_higher	source_union
S3	37	interpretation	source_union
S3	38	q_value_within_contrast	source_union
S3	39	fdr_0_05	source_union
S3	40	fdr_0_10	source_union
S3	41	dataset	source_union
S3	42	biological_context	source_union
S3	43	evidence_tier	source_union
S3	44	effect_value	source_union
S3	45	effect_metric	source_union
S3	46	q_value	source_union
S3	47	fdr_bool	source_union
S3	48	interpretation_boundary	source_union
S3	49	unit	source_union
S4	1	_supplementary_table	provenance
S4	2	_table_title	provenance
S4	3	_source_order	provenance
S4	4	_source_role	provenance
S4	5	_source_file	provenance
S4	6	_source_relative_path	provenance
S4	7	_source_sha256	provenance
S4	8	_source_row_number	provenance
S4	9	validation_class	source_union
S4	10	n_modules	source_union
S4	11	feature_id	source_union
S4	12	axis	source_union
S4	13	display_label	source_union
S4	14	proposed_figure_family	source_union
S4	15	n_independent_datasets	source_union
S4	16	datasets	source_union
S4	17	dataset_effects	source_union
S4	18	n_positive_datasets	source_union
S4	19	n_negative_datasets	source_union
S4	20	dominant_direction	source_union
S4	21	weighted_directional_coherence	source_union
S4	22	median_effect	source_union
S4	23	median_absolute_effect	source_union
S4	24	max_absolute_effect	source_union
S4	25	n_FDR10_datasets	source_union
S4	26	n_moderate_effect_datasets	source_union
S4	27	n_large_effect_datasets	source_union
S4	28	independent_evidence_priority_score	source_union
S4	29	figure_family	source_union
S4	30	figure_title	source_union
S4	31	panel	source_union
S4	32	panel_title	source_union
S4	33	panel_purpose	source_union
S4	34	module_rank	source_union
S4	35	infection_direction	source_union
S4	36	infection_coherence	source_union
S4	37	preterm_effect	source_union
S4	38	preterm_coherence	source_union
S5	1	_supplementary_table	provenance
S5	2	_table_title	provenance
S5	3	_source_order	provenance
S5	4	_source_role	provenance
S5	5	_source_file	provenance
S5	6	_source_relative_path	provenance
S5	7	_source_sha256	provenance
S5	8	_source_row_number	provenance
S5	9	dataset	source_union
S5	10	analysis_family	source_union
S5	11	tissue	source_union
S5	12	feature_type	source_union
S5	13	axis	source_union
S5	14	feature_id	source_union
S5	15	display_label	source_union
S5	16	proposed_figure_family	source_union
S5	17	effect_value	source_union
S5	18	q_value	source_union
S5	19	fdr_0_10	source_union
S5	20	direction	source_union
S5	21	primary_context	source_union
S5	22	mean_tissue_effect	source_union
S5	23	effect_metric	source_union
S5	24	n_tissues	source_union
S5	25	n_positive_tissues	source_union
S5	26	n_negative_tissues	source_union
S5	27	tissue_directional_coherence	source_union
S5	28	best_tissue_q_value	source_union
S5	29	evidence_weight	source_union
S5	30	interpretation_role	source_union
S5	31	absolute_effect	source_union
S5	32	C1_PRETERM_VS_TERM | bladder	source_union
