supplementary_table	source_role	critical_column	column_present	nonblank_rows	total_rows	pass
S5	Tissue-resolved preterm-versus-term effects	effect_value	True	243	243	True
S5	Tissue-resolved preterm-versus-term effects	direction	True	243	243	True
S5	Collapsed pregnancy-outcome effects	dataset	True	81	81	True
S5	Collapsed pregnancy-outcome effects	feature_id	True	81	81	True
S5	Collapsed pregnancy-outcome effects	effect_value	True	81	81	True
S5	Collapsed pregnancy-outcome effects	direction	True	81	81	True
S5	Full three-contrast tissue effect matrix	feature_id	True	81	81	True
S5	Full three-contrast tissue effect matrix	C1_PRETERM_VS_TERM | bladder	True	81	81	True
S5	Full three-contrast tissue effect matrix	C2_UPEC_VS_PBS_PREGNANCY | bladder	True	81	81	True
S5	Full three-contrast tissue effect matrix	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	True	81	81	True
S6	Flat-matrix and per-sample single-cell QC	sample_id	True	4	4	True
S6	Flat-matrix and per-sample single-cell QC	condition	True	4	4	True
S6	Flat-matrix and per-sample single-cell QC	n_cells	True	4	4	True
S6	Flat-matrix and per-sample single-cell QC	adaptive_qc_pass_cells	True	4	4	True
S6	Cluster top-marker table	cluster	True	450	450	True
S6	Cluster top-marker table	rank	True	450	450	True
S6	Cluster top-marker table	gene_symbol	True	450	450	True
S6	Broad-cell sample composition	sample_id	True	32	32	True
S6	Broad-cell sample composition	condition	True	32	32	True
S6	Broad-cell sample composition	broad_cell_type	True	32	32	True
S6	Broad-cell sample composition	n_cells	True	32	32	True
S6	Broad-cell sample composition	fraction_of_QC_cells	True	32	32	True
S6	Refined-subtype sample composition	sample_id	True	72	72	True
S6	Refined-subtype sample composition	condition	True	72	72	True
S6	Refined-subtype sample composition	refined_cell_subtype	True	72	72	True
S6	Refined-subtype sample composition	n_cells	True	72	72	True
S6	Refined-subtype sample composition	fraction_of_QC_cells	True	72	72	True
S7	Broad-cell localization summary	feature_id	True	73	73	True
S7	Broad-cell localization summary	n_complete_populations	True	73	73	True
S7	Broad-cell localization summary	directional_coherence_fraction	True	73	73	True
S7	Core-module cellular localization	feature_id	True	73	73	True
S7	Core-module cellular localization	n_complete_populations	True	73	73	True
S7	Core-module cellular localization	directional_coherence_fraction	True	73	73	True
S7	Refined-subtype localization summary	feature_id	True	73	73	True
S7	Refined-subtype localization summary	n_complete_populations	True	73	73	True
S7	Refined-subtype localization summary	directional_coherence_fraction	True	73	73	True
S8	Core complement and endocrine-metabolic cellular attribution	feature_id	True	10	10	True
S8	Core complement and endocrine-metabolic cellular attribution	top_population_by_composite_score	True	10	10	True
S8	Core complement and endocrine-metabolic cellular attribution	cellular_localization_class	True	10	10	True
S8	Module-level cellular synthesis across immune populations	feature_id	True	73	73	True
S8	Module-level cellular synthesis across immune populations	top_population_by_composite_score	True	73	73	True
S8	Module-level cellular synthesis across immune populations	cellular_localization_class	True	73	73	True
S9	Frozen Figure 1-8 asset manifest	package_path	True	83	83	True
S9	Frozen Figure 1-8 asset manifest	checksum_match	True	83	83	True
S9	Frozen Figure 1-8 asset manifest	asset_type	True	83	83	True
S9	Frozen Figure 1-8 asset manifest	figure_number	True	81	83	False
S9	Figure and panel title registry	figure_number	True	57	57	True
S9	Figure and panel title registry	panel	True	57	57	True
S9	Figure and panel title registry	panel_title	True	57	57	True
S9	Accession-corrected panel legend provenance registry	figure_number	True	57	57	True
S9	Accession-corrected panel legend provenance registry	panel	True	57	57	True
S9	Accession-corrected panel legend provenance registry	definitive_panel_legend	True	57	57	True
S10	Accession-corrected caveat terminology registry	caveat_id	True	8	8	True
S10	Accession-corrected caveat terminology registry	required_statement	True	8	8	True
S10	Cellular-localization claim-boundary matrix	finding_type	True	6	6	True
S10	Cellular-localization claim-boundary matrix	allowed_wording	True	6	6	True
S10	Cellular-localization claim-boundary matrix	avoid_wording	True	6	6	True
S10	Future accession validation rules	rule_id	True	2	2	True
S10	Future accession validation rules	term	True	2	2	True
S10	Future accession validation rules	rule	True	2	2	True
S10	Future accession validation rules	scientific_identity	True	2	2	True
S10	Accession correction and preservation traceability	source_unchanged	True	1	1	True
S10	Accession correction and preservation traceability	results_wrong_accession_absent	True	1	1	True
S10	Accession correction and preservation traceability	embedded_images_match_frozen_png_masters	True	1	1	True
