artifact_name	artifact_role	project_path	size_bytes	sha256
UTI_HostOmics_Supplementary_Tables_S1-S10_final.xlsx	submission_workbook	11_supplementary/phaseU27B3E51_supplementary_workbook_visual_audit_and_freeze/submission_upload_only/UTI_HostOmics_Supplementary_Tables_S1-S10_final.xlsx	522963	2ad8345d5ec73ba760a92594a938fac78190ff317ed7a48418cafe7e5b11b7da
UTI_HostOmics_U27B3E51_submission_upload_only.zip	submission_upload_package	11_supplementary/phaseU27B3E51_supplementary_workbook_visual_audit_and_freeze/submission_upload_only/UTI_HostOmics_U27B3E51_submission_upload_only.zip	484045	34fe80234201a895b5c6b9e28373d25c995258709b16c826f2dfd4c1692144c3
UTI_HostOmics_U27B3E51_archival_freeze_package.zip	complete_archival_freeze	11_supplementary/phaseU27B3E51_supplementary_workbook_visual_audit_and_freeze/archival_freeze/UTI_HostOmics_U27B3E51_archival_freeze_package.zip	4203631	3f0e3a6b10138f42423f40239c1a6391e701374caf75acb5c0a795800d3de3f3
UTI_HostOmics_U27B3E5_workbook_preview_contact_sheet.png	workbook_visual_audit_contact_sheet	11_supplementary/phaseU27B3E51_supplementary_workbook_visual_audit_and_freeze/render_qa/UTI_HostOmics_U27B3E5_workbook_preview_contact_sheet.png	848045	5a683b65c41757b4caf5f9c007131f0b68ae773cf0267cc413b3cf82d239e8ea
UTI_HostOmics_U27B3E51_visual_audit_report.md	visual_audit_report	05_results/phaseU27B3E51_supplementary_workbook_visual_audit_and_freeze/UTI_HostOmics_U27B3E51_visual_audit_report.md	853	38e5283251a93f73f2431149ab9457f199fe12d7108eddc689de35a91813555d
UTI_HostOmics_U27B3E5_artifact_tool_input_bundle.zip	artifact_tool_input_bundle	11_supplementary/phaseU27B3E51_supplementary_workbook_visual_audit_and_freeze/handoff_inputs/UTI_HostOmics_U27B3E5_artifact_tool_input_bundle.zip	550791	4319b4982f6f8afef5af51bfd6a306a82785c88d831633f7697ddee81d50f54e
