figure	n_requested_modules	n_available_modules	available_modules	unavailable_modules
Figure_7	12	12	CHOLESTEROL_BIOSYNTHESIS;CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT;STEROIDOGENESIS_CORE;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;PROGESTERONE_BIOSYNTHESIS_RESPONSE;STEROID_SULFATION_DESULFATION;LIPID_DROPLET_DYNAMICS;PPAR_SREBP_LXR_REGULATION;FERROPTOSIS_LIPID_PEROXIDATION	
Figure_8	12	12	LEPTIN_SIGNALING;RESISTIN_INFLAMMATORY_SIGNALING;ADIPOKINE_INFLAMMATORY_AXIS;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;GLYCOGEN_SYNTHESIS;GLYCOGENOLYSIS;PENTOSE_PHOSPHATE_PATHWAY;TCA_OXPHOS;MTOR_SIGNALING	
Figure_9	12	12	AMINO_ACID_TRANSPORT;SERINE_GLYCINE_ONE_CARBON;GLUTAMINE_GLUTAMATE;TRYPTOPHAN_KYNURENINE;BRANCHED_CHAIN_AMINO_ACIDS;ARGININE_NO_UREA;NITRIC_OXIDE_SYNTHESIS_REGULATION;PURINE_SALVAGE;PURINE_DEGRADATION_URATE;XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;NAD_METABOLISM;OXIDATIVE_STRESS_NRF2_ANCHOR	
Figure_10	9	7	COMPLEMENT_CLASSICAL;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS	COMPLEMENT_LECTIN;COMPLEMENT_TERMINAL_MAC
Figure_11	10	10	TLR4_LPS_SIGNALING_ANCHOR;LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;INSULIN_RECEPTOR_IRS;GLYCOGEN_SYNTHESIS;COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;ANDROGEN_RECEPTOR_SIGNALING;FATTY_ACID_SYNTHESIS;AMINO_ACID_TRANSPORT	
