supplementary_table	table_title	source_order	source_status	source_path	source_relative_path	source_exists	source_supported_tabular_format	source_sha256	source_size_bytes	source_read_status	source_column_count	source_columns
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	1	PROVISIONAL_COMPOSITE_REVIEW	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	True	True	a4b855bb583569361e55937e7361adf263451ccb9c0eb11c47de023708646833	876	READY	6	sample_id; condition; source_matrix; source_scale_class; n_cell_columns; analysis_unit
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	2	PROVISIONAL_COMPOSITE_REVIEW	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	True	True	d26217eaa1c9d578dffecbd6594a8e8895c2fe010242abfaf5711cadd64f13b0	124024	READY	34	sample_id; annotation_row_matched; sample_geo_accession; status; submission_date; last_update_date; type; channel_count; source_name_ch1; organism_ch1; characteristics_ch1; treatment_protocol_ch1; molecule_ch1; extract_protocol_ch1; label_ch1; label_protocol_ch1; taxid_ch1; hyb_protocol; scan_protocol; description; data_processing; platform_id; contact_name; contact_email; contact_phone; contact_department; contact_institute; contact_address; contact_city; contact_state; contact_zip/postal_code; contact_country; supplementary_file; data_row_count
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	3	PROVISIONAL_COMPOSITE_REVIEW	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	True	True	6762c6c238c583d456ffcc651091981db5501fd983c6fdb395346cbabd4d3878	1201	READY	6	sample_id; annotation_row_matched; dataset_id; inferred_group; inferred_block; source
S2	Expanded 78-submodule library organized across ten biological axes.	1	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	True	True	b728ccae124dc96e3d54902bb02c669890ab1fbefaf1bbffb208d7f80a2d245e	17925	READY	8	axis; submodule_id; display_label; n_genes; genes; biological_readout; priority_weight; proposed_figure_family
S3	Dataset-specific module effects and factorial or adjusted contrasts.	1	PROVISIONAL_COMPOSITE_REVIEW	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_cell_level_UPEC_vs_Control_module_contrast_v1.tsv	07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_cell_level_UPEC_vs_Control_module_contrast_v1.tsv	True	True	0ac3ce593bd326433be6096eeafc08477d0f44f49f74e98b2a3217feef654040	4513	READY	16	dataset_id; contrast_name; module_name; group_a; group_b; unit; n_group_a; n_group_b; mean_group_a; mean_group_b; delta_group_a_minus_group_b; cohens_d; welch_t; p_value; fdr_bh; direction
S3	Dataset-specific module effects and factorial or adjusted contrasts.	2	PROVISIONAL_COMPOSITE_REVIEW	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	True	True	d27613a73abc0ff504cde2121e93e1dbc77ad1491701eeac94eacac3ba3e6d92	4975	READY	16	dataset_id; contrast_name; module_name; group_a; group_b; unit; n_group_a; n_group_b; mean_group_a; mean_group_b; delta_group_a_minus_group_b; cohens_d; welch_t; p_value; fdr_bh; direction
S3	Dataset-specific module effects and factorial or adjusted contrasts.	3	PROVISIONAL_COMPOSITE_REVIEW	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	True	True	29bb3f1946dfa8b853396f57f4a7f60697b6a46a0d1130335956e191ec08c9b8	5704	READY	15	dataset_id; contrast_name; module_name; group_a; group_b; n_group_a; n_group_b; mean_group_a; mean_group_b; delta_group_a_minus_group_b; cohens_d; welch_t; p_value; fdr_bh; direction
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	1	PROVISIONAL_COMPOSITE_REVIEW	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_validation_class_summary.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_validation_class_summary.tsv	True	True	cf37fae5e07574c02a2e6ae0c3845f3193cc493f10732d95cb120fb671282c52	183	READY	2	validation_class; n_modules
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	2	PROVISIONAL_COMPOSITE_REVIEW	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	True	True	3f53d7f1a6adc8f38640920cb7665a4ec3bd872796569c305d769691e223148d	27151	READY	19	feature_id; axis; display_label; proposed_figure_family; n_independent_datasets; datasets; dataset_effects; n_positive_datasets; n_negative_datasets; dominant_direction; weighted_directional_coherence; median_effect; median_absolute_effect; max_absolute_effect; n_FDR10_datasets; n_moderate_effect_datasets; n_large_effect_datasets; validation_class; independent_evidence_priority_score
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	3	PROVISIONAL_COMPOSITE_REVIEW	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_9_panel_evidence.tsv	06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_9_panel_evidence.tsv	True	True	036acf36b42734eac4431eadbfa85e77fb45b4cc2d5b8b689c3377d02beb5921	26868	READY	14	figure_family; figure_title; panel; panel_title; panel_purpose; module_rank; feature_id; display_label; validation_class; infection_direction; infection_coherence; preterm_effect; preterm_coherence; dataset_effects
