supplementary_table	column_position	column_name	column_origin
S1	1	_supplementary_table	provenance
S1	2	_table_title	provenance
S1	3	_source_order	provenance
S1	4	_source_file	provenance
S1	5	_source_relative_path	provenance
S1	6	_source_sha256	provenance
S1	7	_source_row_number	provenance
S1	8	sample_id	source_union
S1	9	condition	source_union
S1	10	source_matrix	source_union
S1	11	source_scale_class	source_union
S1	12	n_cell_columns	source_union
S1	13	analysis_unit	source_union
S1	14	annotation_row_matched	source_union
S1	15	sample_geo_accession	source_union
S1	16	status	source_union
S1	17	submission_date	source_union
S1	18	last_update_date	source_union
S1	19	type	source_union
S1	20	channel_count	source_union
S1	21	source_name_ch1	source_union
S1	22	organism_ch1	source_union
S1	23	characteristics_ch1	source_union
S1	24	treatment_protocol_ch1	source_union
S1	25	molecule_ch1	source_union
S1	26	extract_protocol_ch1	source_union
S1	27	label_ch1	source_union
S1	28	label_protocol_ch1	source_union
S1	29	taxid_ch1	source_union
S1	30	hyb_protocol	source_union
S1	31	scan_protocol	source_union
S1	32	description	source_union
S1	33	data_processing	source_union
S1	34	platform_id	source_union
S1	35	contact_name	source_union
S1	36	contact_email	source_union
S1	37	contact_phone	source_union
S1	38	contact_department	source_union
S1	39	contact_institute	source_union
S1	40	contact_address	source_union
S1	41	contact_city	source_union
S1	42	contact_state	source_union
S1	43	contact_zip/postal_code	source_union
S1	44	contact_country	source_union
S1	45	supplementary_file	source_union
S1	46	data_row_count	source_union
S1	47	dataset_id	source_union
S1	48	inferred_group	source_union
S1	49	inferred_block	source_union
S1	50	source	source_union
S2	1	_supplementary_table	provenance
S2	2	_table_title	provenance
S2	3	_source_order	provenance
S2	4	_source_file	provenance
S2	5	_source_relative_path	provenance
S2	6	_source_sha256	provenance
S2	7	_source_row_number	provenance
S2	8	axis	source_union
S2	9	submodule_id	source_union
S2	10	display_label	source_union
S2	11	n_genes	source_union
S2	12	genes	source_union
S2	13	biological_readout	source_union
S2	14	priority_weight	source_union
S2	15	proposed_figure_family	source_union
S3	1	_supplementary_table	provenance
S3	2	_table_title	provenance
S3	3	_source_order	provenance
S3	4	_source_file	provenance
S3	5	_source_relative_path	provenance
S3	6	_source_sha256	provenance
S3	7	_source_row_number	provenance
S3	8	dataset_id	source_union
S3	9	contrast_name	source_union
S3	10	module_name	source_union
S3	11	group_a	source_union
S3	12	group_b	source_union
S3	13	unit	source_union
S3	14	n_group_a	source_union
S3	15	n_group_b	source_union
S3	16	mean_group_a	source_union
S3	17	mean_group_b	source_union
S3	18	delta_group_a_minus_group_b	source_union
S3	19	cohens_d	source_union
S3	20	welch_t	source_union
S3	21	p_value	source_union
S3	22	fdr_bh	source_union
S3	23	direction	source_union
S4	1	_supplementary_table	provenance
S4	2	_table_title	provenance
S4	3	_source_order	provenance
S4	4	_source_file	provenance
S4	5	_source_relative_path	provenance
S4	6	_source_sha256	provenance
S4	7	_source_row_number	provenance
S4	8	validation_class	source_union
S4	9	n_modules	source_union
S4	10	feature_id	source_union
S4	11	axis	source_union
S4	12	display_label	source_union
S4	13	proposed_figure_family	source_union
S4	14	n_independent_datasets	source_union
S4	15	datasets	source_union
S4	16	dataset_effects	source_union
S4	17	n_positive_datasets	source_union
S4	18	n_negative_datasets	source_union
S4	19	dominant_direction	source_union
S4	20	weighted_directional_coherence	source_union
S4	21	median_effect	source_union
S4	22	median_absolute_effect	source_union
S4	23	max_absolute_effect	source_union
S4	24	n_FDR10_datasets	source_union
S4	25	n_moderate_effect_datasets	source_union
S4	26	n_large_effect_datasets	source_union
S4	27	independent_evidence_priority_score	source_union
S4	28	figure_family	source_union
S4	29	figure_title	source_union
S4	30	panel	source_union
S4	31	panel_title	source_union
S4	32	panel_purpose	source_union
S4	33	module_rank	source_union
S4	34	infection_direction	source_union
S4	35	infection_coherence	source_union
S4	36	preterm_effect	source_union
S4	37	preterm_coherence	source_union
S5	1	_supplementary_table	provenance
S5	2	_table_title	provenance
S5	3	_source_order	provenance
S5	4	_source_file	provenance
S5	5	_source_relative_path	provenance
S5	6	_source_sha256	provenance
S5	7	_source_row_number	provenance
S5	8	dataset	source_union
S5	9	analysis_family	source_union
S5	10	tissue	source_union
S5	11	feature_type	source_union
S5	12	axis	source_union
S5	13	feature_id	source_union
S5	14	display_label	source_union
S5	15	proposed_figure_family	source_union
S5	16	effect_value	source_union
S5	17	q_value	source_union
S5	18	fdr_0_10	source_union
S5	19	direction	source_union
S5	20	primary_context	source_union
S5	21	mean_tissue_effect	source_union
S5	22	effect_metric	source_union
S5	23	n_tissues	source_union
S5	24	n_positive_tissues	source_union
S5	25	n_negative_tissues	source_union
S5	26	tissue_directional_coherence	source_union
S5	27	best_tissue_q_value	source_union
S5	28	evidence_weight	source_union
S5	29	interpretation_role	source_union
S5	30	absolute_effect	source_union
S5	31	C1_PRETERM_VS_TERM | bladder	source_union
S5	32	C1_PRETERM_VS_TERM | placenta	source_union
S5	33	C1_PRETERM_VS_TERM | uterus	source_union
S5	34	C2_UPEC_VS_PBS_PREGNANCY | bladder	source_union
S5	35	C2_UPEC_VS_PBS_PREGNANCY | placenta	source_union
S5	36	C2_UPEC_VS_PBS_PREGNANCY | uterus	source_union
S5	37	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	source_union
S6	1	_supplementary_table	provenance
S6	2	_table_title	provenance
S6	3	_source_order	provenance
S6	4	_source_file	provenance
S6	5	_source_relative_path	provenance
S6	6	_source_sha256	provenance
S6	7	_source_row_number	provenance
S6	8	population_level	source_union
S6	9	population	source_union
S6	10	feature_id	source_union
S6	11	display_label	source_union
S6	12	axis	source_union
S6	13	proposed_figure_family	source_union
S6	14	requested_genes	source_union
S6	15	detected_genes	source_union
S6	16	coverage_fraction	source_union
S6	17	score_eligible	source_union
S6	18	mean_control_score	source_union
S6	19	mean_UPEC_score	source_union
S6	20	mean_difference_UPEC_minus_control	source_union
S6	21	hedges_g_UPEC_vs_control	source_union
S6	22	exact_permutation_p	source_union
S6	23	module_mean_gene_log2FC	source_union
S6	24	module_median_gene_log2FC	source_union
