supplementary_table	table_title	source_map_rows	unique_source_files	materialized_output	output_exists	output_sha256	materialized_rows	materialized_columns	materialization_status
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S1.tsv	True	527838fffb855a46f90e36b30c6d268a3620ffd002826046f7294332e83a5bf2	97	50	MATERIALIZED
S2	Expanded 78-submodule library organized across ten biological axes.	1	1	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S2.tsv	True	66579ba41a7ea80926f6d05c8706c122353ac91dc52ac48b6d81248ca8c423ac	78	15	MATERIALIZED
S3	Dataset-specific module effects and factorial or adjusted contrasts.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S3.tsv	True	5349d6776c5bbb9b1c5c39ae970a386beff8a8f73fc3dbefb963abed0d086efd	60	23	MATERIALIZED
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S4.tsv	True	c558d0ebf0d0fbcdd4b2f760c9c05c437c6f9ce286fc528bcbcdf4322f5cd11c	142	37	MATERIALIZED
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S5.tsv	True	842d917fafec14ee08e1b327f8d5395f12f24c945299c42913330ee183e7c23b	405	37	MATERIALIZED
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S6.tsv	True	1aba1098df32792623e3bcaa1aa8e714956f8afb15105bf898cae51f0efa70c0	1560	47	MATERIALIZED
S7	Broad-cell and refined-subtype pseudobulk module localization results.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S7.tsv	True	f6e47885dd552e2e461effa9e918c3d3a47b07eead7860e4f3f37e8b445ee230	219	31	MATERIALIZED
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S8.tsv	True	20f4a1af34d2fbb1789be9519a3e475ad5f3e065b4ce780ecf3584cfce651a85	11	50	MATERIALIZED
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S9.tsv	True	7b9a0595e0faca40de2fd5cc6a96bde3579ac881789c38bcdf82bdb5924e159d	197	38	MATERIALIZED
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	3	3	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S10.tsv	True	b7450ee48c10be06d7fd9cd6b6eacfcb78cebf858464abfce7a772af7782b734	34	19	MATERIALIZED
