supplementary_table	source_path	source_sha256	corrected_package_path	corrected_package_sha256	byte_identical	rows	columns	provenance_columns_complete
S1	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S1.tsv	3e386dd6ad6bc08e5eed05b25c2fd14675fbbb98832a75631d76e2dbcacc58ac	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S1.tsv	3e386dd6ad6bc08e5eed05b25c2fd14675fbbb98832a75631d76e2dbcacc58ac	True	157	60	True
S2	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S2.tsv	6ea51c06f758253407d0145cf6325b7c8cbabc12300defc81b1f1e8979b24e3a	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S2.tsv	6ea51c06f758253407d0145cf6325b7c8cbabc12300defc81b1f1e8979b24e3a	True	78	16	True
S3	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S3.tsv	b8302dc0b8c3ee121712073e9b1113d0ea4a07d7c3d067bfadbe9add790e01d7	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S3.tsv	b8302dc0b8c3ee121712073e9b1113d0ea4a07d7c3d067bfadbe9add790e01d7	True	1012	49	True
S4	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S4.tsv	d591ca63ad687be93bf524ca0962b3f818eaeaa2958a48d7dd46a9a01f38df56	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S4.tsv	d591ca63ad687be93bf524ca0962b3f818eaeaa2958a48d7dd46a9a01f38df56	True	142	38	True
S5	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S5.tsv	efb212ba22f98aa326de002ad994455e0616d407d91739cd5aa7f52b6c26a597	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S5.tsv	efb212ba22f98aa326de002ad994455e0616d407d91739cd5aa7f52b6c26a597	True	405	38	True
S6	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S6.tsv	35682ac3938b93dbcc3d2ed363158b8651858edf09f9f400b3354f764f75845c	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S6.tsv	35682ac3938b93dbcc3d2ed363158b8651858edf09f9f400b3354f764f75845c	True	558	49	True
S7	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S7.tsv	f80dec19e3c34da9b5fc748f8a436fdf98133619cadfb55d7c3cf17ffc35a106	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S7.tsv	f80dec19e3c34da9b5fc748f8a436fdf98133619cadfb55d7c3cf17ffc35a106	True	219	32	True
S8	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S8.tsv	80450b07bda7bc175a5692d78e0bfd4e2643913cfa3ce46e946de7c61e983063	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S8.tsv	80450b07bda7bc175a5692d78e0bfd4e2643913cfa3ce46e946de7c61e983063	True	83	38	True
S9	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S9.tsv	5d8dcbcc02c43120438c3ebc300d1536a65a37e57beb4adcecbee690cbecf379	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S9.tsv	5d8dcbcc02c43120438c3ebc300d1536a65a37e57beb4adcecbee690cbecf379	True	197	39	True
S10	project://11_supplementary/phaseU27B3E32_repaired_supplementary_rematerialization/materialized_tables/UTI_HostOmics_Supplementary_Table_S10.tsv	bb0d3e49c63c2e354e98745d543f43a9b7cf869cff4f0c77afa69490ad9d6293	project://11_supplementary/phaseU27B3E321_semantic_accession_audit_correction/materialized_tables/UTI_HostOmics_Supplementary_Table_S10.tsv	bb0d3e49c63c2e354e98745d543f43a9b7cf869cff4f0c77afa69490ad9d6293	True	17	36	True
