accession	official_identity	classification	files	occurrences
GSE186800	Gardnerella vaginalis activates host responses necessary for Escherichia coli recurrent UTI from bladder reservoirs	COMPUTATIONAL_OR_SOURCE_EVIDENCE	60	3531
GSE186800	Gardnerella vaginalis activates host responses necessary for Escherichia coli recurrent UTI from bladder reservoirs	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	194	2027
GSE186800	Gardnerella vaginalis activates host responses necessary for Escherichia coli recurrent UTI from bladder reservoirs	UNCLASSIFIED_PROJECT_FILE	77	2384
GSE168600	KLF5 governs sphingolipid metabolism and barrier function of the skin	COMPUTATIONAL_OR_SOURCE_EVIDENCE	0	0
GSE168600	KLF5 governs sphingolipid metabolism and barrier function of the skin	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	42	120
GSE168600	KLF5 governs sphingolipid metabolism and barrier function of the skin	UNCLASSIFIED_PROJECT_FILE	0	0
