source_role	path	exists	required_columns	observed_columns	missing_required_columns	schema_validation_pass
primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	True	dataset;primary_context;feature_id;effect_value;effect_metric;interpretation_role	dataset;primary_context;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;effect_metric;direction;fdr_0_10;q_value;evidence_weight;interpretation_role;mean_tissue_effect;n_tissues;n_positive_tissues;n_negative_tissues;tissue_directional_coherence;best_tissue_q_value		True
preterm_collapsed	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	True	dataset;primary_context;feature_id;effect_value;tissue_directional_coherence;interpretation_role	dataset;primary_context;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;mean_tissue_effect;effect_metric;n_tissues;n_positive_tissues;n_negative_tissues;tissue_directional_coherence;direction;fdr_0_10;best_tissue_q_value;evidence_weight;interpretation_role;absolute_effect		True
broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	True	population;feature_id;module_mean_gene_log2FC;cellular_localization_score;cellular_evidence_class	population_level;population;feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible;mean_control_score;mean_UPEC_score;mean_difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p;module_mean_gene_log2FC;module_median_gene_log2FC;fraction_genes_positive_log2FC;fraction_genes_negative_log2FC;gene_direction_coherence;direction;exact_permutation_q_within_population;hedges_g_finite;variance_sensitive_hedges_g;cellular_evidence_class;cellular_localization_score;effect_direction		True
module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	True	feature_id;top_population_by_composite_score;top_refined_subtype;top_refined_subtype_composite_score;cellular_localization_class	feature_id;display_label;axis;proposed_figure_family;n_populations;n_positive_populations;n_negative_populations;directional_coherence_fraction;n_high_or_moderate_populations;top_population_by_composite_score;top_population_composite_score;top_population_evidence_class;top_population_mean_gene_log2FC;top_population_gene_direction_coherence;top_population_hedges_g;top_population_variance_sensitive_g;top_to_second_score_ratio;cellular_localization_class;median_mean_gene_log2FC;median_gene_direction_coherence;median_composite_score;top_refined_subtype;top_refined_subtype_composite_score;top_refined_subtype_mean_gene_log2FC;top_refined_subtype_gene_direction_coherence;top_refined_subtype_hedges_g;top_refined_subtype_variance_sensitive_g		True
refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	True	feature_id;validation_class;independent_evidence_priority_score;manuscript_claim_priority;refined_infection_outcome_relation	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		True
celltype_composition_effects	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_celltype_composition_effects.tsv	True	refined_broad_cell_type;difference_UPEC_minus_control	refined_broad_cell_type;mean_control;mean_UPEC;difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p		True
targeted_state_effects	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_targeted_state_effects.tsv	True	targeted_measure;difference_UPEC_minus_control	targeted_measure;mean_control;mean_UPEC;difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p		True
