path	status	priority	delimiter	n_columns	n_rows_inspected	identifier_column	identifier_type	symbol_like_fraction	n_sample_columns_estimated	selection_score
project://02_data_raw/GSE280297/supplementary/GSE280297_Normalized.counts.csv.gz	ok	500	,	61	500	Unnamed: 0	mouse_ensembl	1.0	60	740.0
project://02_data_raw/GSE280297/supplementary/GSE280297_gene_count.csv.gz	ok	400	,	62	500	gene_id	mouse_ensembl	1.0	61	640.0
