dataset	analysis_family	tissue	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	q_value	fdr_0_10	direction
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	0.1096599187511169	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	-0.3225482667085081	0.8035071492850715	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	-0.2397280946976295	0.8707596751075012	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.5890935728332182	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	-0.0700103575880774	0.9412111420436904	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.2725791025550987	0.8707596751075012	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.296460616488545	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-0.0778555504629274	0.9412111420436904	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-0.310337724969468	0.8641483516483516	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	0.2822793810300354	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	-0.3257433984221691	0.8035071492850715	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	-0.330263936679599	0.8641483516483516	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	-0.0859352267459318	0.9819024725274724	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	-0.18037601683492	0.9001145340011454	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	0.6572045781604307	0.8641483516483516	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	0.0684472456905793	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	-0.6125112791978754	0.7957454254574543	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	0.9393602518520584	0.8641483516483516	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	0.350348813405367	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	-0.5695363223634324	0.7957454254574543	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	-0.0118072454892652	0.9972527472527472	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	0.2038560933422443	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	-0.4122239249925963	0.7957454254574543	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	0.3390425321588316	0.8641483516483516	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	0.7924853344897027	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	-0.7245475380694859	0.7957454254574543	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	0.3319923903012867	0.8641483516483516	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	-0.0660311752665699	0.9819024725274724	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	-0.4774669483951472	0.7957454254574543	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	0.7817533430730323	0.8641483516483516	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	0.6560046769717482	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	-0.2182608845677418	0.8964018852352053	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	-0.2087355514975391	0.8707596751075012	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	0.3936415091050061	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	-0.584243297934736	0.7957454254574543	False	negative
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	0.938124875763557	0.8641483516483516	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	0.2826640207251812	0.9819024725274724	False	positive
GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	-0.6544321347134042	0.7957454254574543	False	negative
