dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	0.1132954967505399	standardized_module_score_beta	positive	False	0.5070611472459167	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.0763523909557786	standardized_module_score_beta	positive	False	0.5070611472459167	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	-0.0928012982351832	standardized_module_score_beta	negative	False	0.7177689306588981	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	Figure_7	0.0787575515062607	standardized_module_score_beta	positive	False	0.2512694697145531	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	-0.2828595871711987	standardized_module_score_beta	negative	True	0.0243664042580001	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	-0.1560187281819674	standardized_module_score_beta	negative	True	0.0147382578482227	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	-0.0526690947067502	standardized_module_score_beta	negative	False	0.8359938677265438	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	Figure_7	-0.2151942148542195	standardized_module_score_beta	negative	True	0.0758647303620015	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.090409846551439	standardized_module_score_beta	negative	False	0.6745086162504164	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	0.365278973361385	standardized_module_score_beta	positive	True	0.0009554195569796	1.0	human_systemic_urinary_inflammation_comparator						
