dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	mean_tissue_effect	effect_metric	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	direction	fdr_0_10	best_tissue_q_value	evidence_weight	interpretation_role	absolute_effect
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	Figure_8	0.1067236689885148	-0.1780302458354963	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1067236689885148
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	0.1498006661778333	-0.025034997003368743	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1498006661778333
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	Figure_8	0.1355121715783165	0.05754386331221618	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1355121715783165
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	Figure_9	-0.459976279309689	-0.4775334151059207	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.459976279309689
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	Figure_9	0.052076373829829	0.09562580985626988	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9766483516483516	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.052076373829829
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	Figure_9	-0.2413652263709858	-0.2788256771840183	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2413652263709858
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	0.130834045096689	0.15414916324206782	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.988095238095238	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.130834045096689
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	-0.4971530114341522	-0.2268854457976491	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.4971530114341522
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	0.2020359434638153	0.2951111960072759	median_tissue_hedges_g	3	3	0	1.0	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2020359434638153
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.4735556700610808	0.43553294456802144	median_tissue_hedges_g	3	3	0	1.0	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.4735556700610808
