feature_id	axis	display_label	proposed_figure_family	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score
COMPLEMENT_OPSONOPHAGOCYTOSIS	complement_architecture	Complement-opsonophagocytosis	Figure_10	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5414;GSE186800:-0.4518;GSE252321:0.6107;GSE280297:0.4246	3	1	positive	0.6923076923076923	0.48298523642116864	0.49659957239533753	0.6106585347065031	1	2	0	one_FDR_dataset_plus_independent_concordant_effect	10.18890726470303
OXIDATIVE_STRESS_NRF2_ANCHOR	immune_context_anchors	Oxidative stress and NRF2 anchor	Integrated_network	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3829;GSE186800:0.2628;GSE252321:0.5734;GSE280297:0.4905	4	0	positive	1.0	0.43670797231367875	0.43670797231367875	0.5733729709195335	1	1	0	limited_independent_support	8.936707972313679
PPARG_ADIPOMETABOLIC_REGULATION	adipokine_signaling	PPARG adipometabolic regulation	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1889;GSE186800:0.4479;GSE252321:0.5452;GSE280297:-0.2397	3	1	positive	0.6923076923076923	0.318402719478308	0.3438051661758259	0.5451508305094149	1	1	0	limited_independent_support	8.536112858483518
ESTROGEN_RECEPTOR_RESPONSE	steroid_cholesterol_endocrine	Estrogen receptor response	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.1560;GSE186800:0.4784;GSE252321:0.6820;GSE280297:0.1650	3	1	positive	0.6923076923076923	0.321714667545297	0.321714667545297	0.6820350103952629	1	1	0	limited_independent_support	8.51402235985299
CATECHOLAMINE_IRON_REDOX_INTERFACE	catecholamine_stress_adjacent	Catecholamine, iron and redox interface	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2861;GSE186800:-0.0092;GSE252321:0.6909;GSE280297:0.2901	3	1	positive	0.6923076923076923	0.28809958725442564	0.28809958725442564	0.6908838182362512	1	1	0	limited_independent_support	8.480407279562119
AGE_RAGE_SIGNALING	carbohydrate_inflammatory_carbon	AGE-RAGE signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3263;GSE186800:0.0744;GSE252321:0.7252;GSE280297:-0.2087	3	1	positive	0.6923076923076923	0.20037155756821717	0.26752261896897256	0.7251718047518013	1	1	0	limited_independent_support	8.459830311276665
GLYCOGEN_SYNTHESIS	carbohydrate_inflammatory_carbon	Glycogen synthesis	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1062;GSE186800:0.5936;GSE252321:1.6018;GSE280297:-0.0040	3	1	positive	0.6923076923076923	0.34990721140789693	0.34990721140789693	1.601768502216392	0	2	1	two_dataset_concordant_effect	7.542214903715589
AMINO_ACID_TRANSPORT	amino_acid_metabolism	Amino-acid transport	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1404;GSE186800:0.5415;GSE252321:1.5424;GSE280297:-0.0779	3	1	positive	0.6923076923076923	0.3409446146827993	0.3409446146827993	1.5424044949776037	0	2	1	two_dataset_concordant_effect	7.533252306990492
FATTY_ACID_BETA_OXIDATION	lipid_metabolism	Fatty-acid beta-oxidation	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2257;GSE186800:0.4019;GSE252321:-0.2105;GSE280297:0.3261	3	1	positive	0.9230769230769231	0.27588947296958666	0.27588947296958666	0.4018925839798754	1	0	0	limited_independent_support	7.19896639604651
PYRIMIDINE_DEGRADATION	nucleotide_nad_nitrogen	Pyrimidine degradation	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.4772;GSE186800:-0.2231;GSE252321:-0.4257;GSE280297:-0.4251	1	3	negative	0.6923076923076923	-0.324141498198932	0.42543840845107644	0.477190556982652	1	0	0	limited_independent_support	7.117746100758769
