feature_id	GSE112098	GSE186800	GSE252321	GSE280297
ADIPOKINE_INFLAMMATORY_AXIS	0.1824122944479139	-0.1266876181579531	2.0614152956611087	0.2353752347036881
ADIPONECTIN_SIGNALING	0.08806568020472	0.577419264191277	0.3428337601025548	0.0049739763178469
ADRENERGIC_STRESS_SIGNALING	-0.1037657546558687	0.2941428931372194	0.0179076039119217	-0.4202849029495351
AGE_RAGE_SIGNALING	0.326309686440406	0.0744334286960284	0.7251718047518013	-0.2087355514975391
AMINO_ACID_TRANSPORT	0.1404068355936765	0.5414823937719221	1.5424044949776037	-0.0778555504629274
AMPK_INSULIN_COUNTERREGULATION	-0.0960134131400937	0.8737464490100074	-0.0933810551871245	0.1431634392663947
AMPK_SIGNALING	0.0912333779816898	0.5721475889997217	0.0450472070683661	0.3936415091050061
ANDROGEN_RECEPTOR_SIGNALING	-0.090409846551439	0.6070000780702226	0.5368886211433204	0.0071667134795168
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	-0.0526690947067502	0.1523279515361337	-0.702161501415687	-0.2572233320109406
ARGININE_NO_UREA	0.2146944226443078	-0.0814278652677252	1.4385237823077388	-0.3257433984221691
AROMATIC_AMINO_ACID_METABOLISM	0.0287254082302419	-0.0238695933325934	-2.3462045747340707	-0.0859352267459318
BRANCHED_CHAIN_AMINO_ACIDS	-0.1862118565546487	0.1475599935574126	-0.5898504281140434	0.0684472456905793
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	0.0011385077404699	0.0556022233247416	-0.9055424845650673	0.1395762639662431
CATECHOLAMINE_IRON_REDOX_INTERFACE	0.2860909962081489	-0.0092259680793828	0.6908838182362512	0.2901081783007024
CHOLESTEROL_BIOSYNTHESIS	0.1132954967505399	0.1681763290787114	-1.1791840557458284	0.2253376102206074
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	0.0763523909557786	0.3367167648437335	0.7158495728136308	0.2842637032332668
COMPLEMENT_ALTERNATIVE	-0.2673400614452372	-0.0698943883795775	-0.3102140209047214	0.2987179578977494
COMPLEMENT_C3A_C5A_SIGNALING	0.5287083346929622	-0.0500285858969276	1.271995088268732	0.0680688980830458
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	-0.0329963243063644	-0.0621406037731347	-0.1859260840471238	0.3000879207652096
COMPLEMENT_CLASSICAL	0.0481606422615459	-0.3507055049241107	0.0449858218033634	0.2653474573865672
COMPLEMENT_COAGULATION_CROSSTALK	-0.011913044939347	0.0934838425994934	1.2138848239356397	-0.0385061427396443
COMPLEMENT_LECTIN	-0.0446266659758271	-0.0154433416414198	-0.4272133733758726	-0.101247873556204
COMPLEMENT_OPSONOPHAGOCYTOSIS	0.5414109040698384	-0.4517882407208367	0.6106585347065031	0.4245595687724989
