dataset	analysis_family	tissue	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	q_value	fdr_0_10	direction
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	0.0270436827566696	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	-0.50684976743131	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.4912458416695309	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	-0.5059353303526654	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-0.9110329763420932	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-0.4126434491982289	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-1.0527503025877167	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	-0.4660615902556366	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	-0.1685339223966387	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	0.0918537878557965	1.0	False	positive
