figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	index	C1 bladder	C1 placenta	C1 uterus	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	_label	_subtype	_score	infection	preterm	broad_populations_with_values
Figure_7	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	0.0934838425994934	standardized_module_score_beta	positive	False	0.8341702272210464	1.0	mouse_bladder_average_pathogen_exposure_effect																																																													
Figure_7	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	-0.4517882407208367	standardized_module_score_beta	negative	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect																																																													
Figure_7	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	-0.0500285858969276	standardized_module_score_beta	negative	False	0.8666984902750224	1.0	mouse_bladder_average_pathogen_exposure_effect																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.0449858218033634	hedges_g	positive	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	-0.4272133733758726	hedges_g	negative	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	-0.3102140209047214	hedges_g	negative	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	-0.1859260840471238	hedges_g	negative	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	0.1892860780793338	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	0.258206035535592	hedges_g	positive	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	1.2138848239356397	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
