proposed_figure_family	axis	feature_id	display_label	max_absolute_hedges_g	median_absolute_hedges_g	n_fdr_0_05	n_fdr_0_10	n_contrasts	evidence_priority_score
Figure_10	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	1.7846910114234495	0.5119134066110325	0	0	10	2.0406477147289657
Figure_10	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	1.102946526583523	0.4714445388634636	0	0	10	1.3386687960152548
Figure_10	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	1.1686840835533288	0.25106193211451244	0	0	10	1.2942150496105849
Figure_10	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	1.0957972708101489	0.277789016013618	0	0	10	1.2346917788169578
Figure_10	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	0.9884917004139792	0.38013054612713854	0	0	10	1.1785569734775485
Figure_10	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	0.9339565793762142	0.38368007654963565	0	0	10	1.1257966176510321
Figure_10	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	0.961724494107166	0.3053014189363146	0	0	10	1.1143752035753232
Figure_10	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	0.8797041911271781	0.28344327911437306	0	0	10	1.0214258306843647
Figure_10	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	0.7446344914912053	0.4032015169752657	0	0	10	0.9462352499788381
Figure_7	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	2.377119313176773	0.3198003906904331	0	0	10	2.5370195085219893
Figure_7	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	2.1652999669536572	0.2940626702843476	0	0	10	2.312331302095831
Figure_7	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	1.8049856639753108	0.7221623122031018	0	0	10	2.166066820076862
Figure_7	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	1.697356316190679	0.5294709944692957	0	0	10	1.962091813425327
Figure_7	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	1.6506632031276602	0.4777490589632479	0	0	10	1.8895377326092841
Figure_7	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	1.6089821122350982	0.5534866536511888	0	0	10	1.8857254390606926
Figure_7	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	1.4279264604653428	0.8848680656367328	0	0	10	1.8703604932837092
