feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	C4_UTI89_RFP_VS_UTI89_TERM | bladder	C4_UTI89_RFP_VS_UTI89_TERM | placenta	C4_UTI89_RFP_VS_UTI89_TERM | uterus
CHOLESTEROL_BIOSYNTHESIS	-0.3676190350403667	-0.2427657634531032	-0.10437386360586419	0.7254080278698753	-0.7838880627268637	0.22533761022060744	-1.3346489251793725	-1.6089821122350982	-1.2673653775771148	-0.3815652794325021
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	-0.2187013968881286	-0.24732111360257875	-0.0460652354906136	0.3891861816974427	-0.31359625448944145	0.2842637032332668	0.32526112338529467	-1.0179564721537862	-1.051414235767067	-0.2612406237009463
STEROIDOGENESIS_CORE	0.6984821720927213	0.41502846780385905	0.8795652756774262	0.7059204911276613	-0.15769837182711222	-0.6092611905886939	-0.10964611047794995	-0.007972724240888242	-0.5800195582834506	0.27677298510324305
PROGESTERONE_BIOSYNTHESIS_RESPONSE	-0.5874343331618976	-0.5030817475315358	-0.02107664460696074	0.19406705754799586	0.2114562197285492	-0.45241637039495997	0.2357976586753661	-0.9608972807550028	-1.6506632031276602	-0.6151292916793747
ESTROGEN_BIOSYNTHESIS	-0.43141146627501836	-0.2679451119744505	0.21474687301363365	0.22359072071866298	-0.3716556694064157	0.4930960806800092	0.1445432056417865	-2.377119313176773	-1.2962524165700258	-0.2513649404914854
ESTROGEN_RECEPTOR_RESPONSE	-1.0495272485911142	-0.40538438476472644	-0.9114340045584498	-0.04938943838062942	0.1650461221863599	0.27794467372945236	0.8583021267150158	-1.4279264604653428	-1.3889714229469226	-1.407296086331802
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	0.5120363485796444	0.06135650579834502	1.4716923478785662	0.3327292638980083	-0.2572233320109406	-0.9779976514567984	-0.08970722737270516	-0.15774040770863504	-0.6976484499515421	0.7879489861993179
TESTOSTERONE_CONVERSION_AROMATIZATION	-0.3249692049303546	-0.04307987667198547	0.4565613119478143	0.5247573417775623	-1.2270353565274814	0.28911717676748	-0.13186798084282683	-1.516260004469506	-0.35533285746925153	-0.34439932327043027
ANDROGEN_RECEPTOR_SIGNALING	-1.0188848639899222	-0.5687758189028331	-0.8043093611651837	-0.031888621272064314	0.007166713479516858	0.5712311994970121	0.6400152632410199	-1.8049856639753108	-1.500842160576108	-0.9610317701681886
GLUCOCORTICOID_RESPONSE	-0.9410623700628638	-0.8259823876820072	-0.6577090767419905	-0.19156963603618093	0.024692674055856	0.11491236571852484	1.1970524508315372	-1.006162222931379	-1.1910801905014683	-0.565705701453408
MINERALOCORTICOID_RESPONSE	-0.34971862212034993	-0.7444900529211202	-0.4946617089637732	0.4382564416029907	-0.11383742057753185	0.6978469967525693	0.4414312161189138	-1.0043624387896692	-1.2071724672376003	-0.896639080887823
STEROID_SULFATION_DESULFATION	-0.4726474874056503	-0.3096060694428757	-0.6212498208409187	-0.10625954164952507	-0.6622188490412063	-0.8804057063697692	0.7724133532301495	-0.8498725044201506	-0.906010854742688	-0.7627216444971977
PLACENTAL_STEROID_METABOLISM	0.2693983197571547	0.0104384168928135	-0.13351459468386856	0.6393394121926572	-0.06575321204340696	-0.3187270208115405	0.7761391768770401	-0.22577944233013125	-0.8278894917673374	-2.1652999669536572
LXR_FXR_STEROL_SIGNALING	0.2498601283618348	0.14088113669172334	0.3929015315891652	0.18453635670216312	-0.30899816029393823	0.5616348946379178	-0.10964446476054344	-0.4237087120432005	-0.7420710250437093	0.3877152132101035
FATTY_ACID_SYNTHESIS	-0.5578197467343663	-0.501122242204225	-0.270952121788552	0.2246946199165754	-0.5753774682279177	0.40074215625879145	-0.07591493281403504	-1.3624587757735964	-1.697356316190679	-0.6799453781681559
FATTY_ACID_BETA_OXIDATION	-0.3720436296384718	-0.2829279944810432	0.18118077273773828	0.32609818224392223	-0.37343931158178467	0.5782000396501533	0.3995889192882762	-0.7027745213489606	-1.2163774392238824	-0.652407916321239
PHOSPHOLIPID_METABOLISM	-0.6455749484980116	0.20667723285669864	0.06475313853677432	0.24766224910170354	-0.4966475564017939	0.5930338155036962	0.18125143722357867	-0.9627235787076224	-0.7509248988542717	-0.21300702089079832
SPHINGOLIPID_CERAMIDE_METABOLISM	-0.556979293354634	-0.18351182549311246	-0.34968922746121855	0.3989634068862952	-0.3576176791675761	-0.37831870893336517	0.5445420549295785	-1.083877198806066	-1.1884097998779357	-0.7656088344883937
EICOSANOID_PROSTAGLANDIN_METABOLISM	-0.21863785041078743	0.20608434303326856	-0.0032170257227447253	0.3904999292022162	0.07046492431001965	-0.015599619581646655	0.7027911556992366	-0.38768363083445556	-0.23840654339333234	-0.7196777148341724
