sample_id	condition	source_matrix	source_scale_class	n_cell_columns	analysis_unit
GSM7999426_Control_1	control	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999426_Control_1_matrix.tsv.gz	integer_like_counts	6002	biological_sample_whole_object_pseudobulk
GSM7999427_Control_2	control	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999427_Control_2_matrix.tsv.gz	integer_like_counts	8855	biological_sample_whole_object_pseudobulk
GSM7999428_UPEC_1	UPEC	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999428_UPEC_1_matrix.tsv.gz	integer_like_counts	7372	biological_sample_whole_object_pseudobulk
GSM7999429_UPEC_2	UPEC	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999429_UPEC_2_matrix.tsv.gz	integer_like_counts	6084	biological_sample_whole_object_pseudobulk
