field	value
audited_manuscript_path	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/UTI_HostOmics_preZotero_manuscript_v6_1_U27B3D21_scientifically_harmonized_corrected.docx
audited_manuscript_sha256	8684579d39fcbb65cf47e2882058b9eab07d3d5513e62921ddec246c5229b030
render_directory	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa
contact_sheet	project://09_manuscript_docx/phaseU27B3D21_corrected_v6_reconstruction/render_qa/UTI_HostOmics_U27B3D21_render_contact_sheet.png
visual_review_status	PASS
