source_path	package_path	format	size_bytes	source_sha256	package_sha256	checksum_match	png_width_px	png_height_px	asset_type	figure_number	panel	source_freeze_phase
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	png	391602	1458a533a58befbcefbd64066664334b28aba87447cacc705104f9c7f6f24234	1458a533a58befbcefbd64066664334b28aba87447cacc705104f9c7f6f24234	True	2125.0	2670.0	main_figure	1		phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	svg	188433	de0fa80dd8dd18b2341357f02c937f558c49b80f6b23970de2040258fc7a0aaa	de0fa80dd8dd18b2341357f02c937f558c49b80f6b23970de2040258fc7a0aaa	True			main_figure	1		phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_1.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	pdf	40624	9ceb33efa8364343cf82812491e823ef376d0d56a4208492130b4c3c4efcd03f	9ceb33efa8364343cf82812491e823ef376d0d56a4208492130b4c3c4efcd03f	True			main_figure	1		phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_1_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_A.png	png	19698	2873dfbdfba01cfdf0834e4f2821c54c2db4ba38f5bda8ffd84e9c40f765a5fc	2873dfbdfba01cfdf0834e4f2821c54c2db4ba38f5bda8ffd84e9c40f765a5fc	True	313.0	242.0	panel_crop	1	A	phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_1_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_B.png	png	17896	57b5702aebc07063049225743aa906a95dc3051988671832538336f4659b611a	57b5702aebc07063049225743aa906a95dc3051988671832538336f4659b611a	True	372.0	276.0	panel_crop	1	B	phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_1_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_C.png	png	10180	e2f5b47a840f221bf1c31cf449da48bdc2a6e3d39120c1ad7c61941c85a89d1c	e2f5b47a840f221bf1c31cf449da48bdc2a6e3d39120c1ad7c61941c85a89d1c	True	304.0	292.0	panel_crop	1	C	phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_1_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_D.png	png	19716	c4ebb2353af78cfca2cf034313565ddc0d5e42655848f95f0f0aa02a0235f9e3	c4ebb2353af78cfca2cf034313565ddc0d5e42655848f95f0f0aa02a0235f9e3	True	371.0	279.0	panel_crop	1	D	phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_1_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_E.png	png	18688	7bd1d03dac09604bd45182c8daf6782fc2f2d4ed5112b0f2572003984001fa09	7bd1d03dac09604bd45182c8daf6782fc2f2d4ed5112b0f2572003984001fa09	True	342.0	214.0	panel_crop	1	E	phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_1_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_F.png	png	7012	44a469805bbfefeb6d55be693f8928f9383be2818ba3d38f991c37fedada2be0	44a469805bbfefeb6d55be693f8928f9383be2818ba3d38f991c37fedada2be0	True	303.0	249.0	panel_crop	1	F	phaseU27B2C2E_final_figures_1_to_4_freeze
project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	png	463453	bc3c52c21598105f9bd3c1473881354f2edf5a9cf969b29bf09794f6ad473902	bc3c52c21598105f9bd3c1473881354f2edf5a9cf969b29bf09794f6ad473902	True	2125.0	2880.0	main_figure	2		phaseU27B2C2E_final_figures_1_to_4_freeze
