figure_number	expected_panel_crops	observed_panel_crops	panels_in_title_registry	panel_count_pass
1	6	6	6	True
2	7	7	7	True
3	8	8	8	True
4	8	8	8	True
5	7	7	7	True
6	8	8	8	True
7	7	7	7	True
8	6	6	6	True
