feature_id	GSE112098 | GSE112098_SEPSIS_VS_VASCULAR_SURGERY	GSE112098 | GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	GSE186800 | GSE186800_AVERAGE_TREATMENT	GSE186800 | GSE186800_BLOCK_MAIN_PBS	GSE186800 | GSE186800_GARDNERELLA1_VS_PBS1	GSE186800 | GSE186800_GARDNERELLA2_VS_PBS2	GSE186800 | GSE186800_INTERACTION_RECURRENCE	GSE186800 | GSE186800_TREATMENT_BLOCK1	GSE186800 | GSE186800_TREATMENT_BLOCK2	GSE252321 | GSE252321_UPEC_VS_CONTROL	GSE280297 | C1_PRETERM_VS_TERM__bladder	GSE280297 | C1_PRETERM_VS_TERM__placenta	GSE280297 | C1_PRETERM_VS_TERM__uterus	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__bladder	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__placenta	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__uterus	GSE280297 | C3_INFECTED_PREGNANT_VS_NONPREGNANT__bladder
ADIPOKINE_INFLAMMATORY_AXIS	0.48352560735124167	0.1824122944479139	-0.12668761815795318	0.4065644545071106	-0.03380712918309926	-0.48922933741526853	-0.21926064138574874	-0.017057297465078808	-0.23631793885082755	2.0614152956611087	-0.2537689491728889	0.7397917521344026	-0.3514870479535067	0.6672525214832966	0.2353752347036881	-0.937365683597475	-0.1526424164857431
ADIPONECTIN_SIGNALING	0.1387467038105783	0.08806568020472003	0.577419264191277	-0.2816646430431453	0.8252654663432913	1.0574373389544813	0.07435296150107466	0.5402427834407396	0.6145957449418142	0.3428337601025548	-1.0885162443443697	-0.2392206686071992	0.1569916334552669	0.167177944205993	-0.3492990624671305	0.0049739763178469	-0.0037314644101669
ADRENERGIC_STRESS_SIGNALING	-0.23451615310337873	-0.10376575465586874	0.2941428931372194	-0.17111912513996644	0.29712469425574856	0.8062860167384683	0.30911461490568426	0.1395855856843773	0.44870020059006155	0.017907603911921782	-0.9815447317630288	0.0089207657549558	-0.459976279309689	-0.4202849029495351	-0.6012036553295511	0.1537908308672002	0.7789073060845944
AGE_RAGE_SIGNALING	0.682307464874784	0.32630968644040603	0.07443342869602847	0.08300320697346421	0.16116006818884304	0.3860252831730766	0.03964075312541035	0.05461305213332329	0.09425380525873364	0.7251718047518013	-0.4817044088618192	0.3804541012329345	-0.0415273486691742	0.6560046769717482	-0.2182608845677418	-0.2087355514975391	-0.0913409461365935
AMINO_ACID_TRANSPORT	0.44365564972989924	0.14040683559367653	0.5414823937719221	0.2218339070163325	1.0336980267709788	0.72605146100516	-0.23596877324331728	0.6594667803935808	0.4234980071502635	1.5424044949776035	-0.9110329763420932	-0.4126434491982289	-1.0527503025877167	0.296460616488545	-0.0778555504629274	-0.310337724969468	0.6532124426145993
AMPK_INSULIN_COUNTERREGULATION	-0.23519726398366472	-0.09601341314009375	0.8737464490100074	-0.14249221403069406	1.1056078280731934	0.9955317987307162	-0.11379899381503447	0.9306459459175247	0.8168469521024903	-0.09338105518712454	-0.744315365082096	-0.3042971240102138	-0.3017039718146977	0.1431634392663947	-0.4232120891357079	0.7077309735966928	0.5045740726586657
AMPK_SIGNALING	0.18212433367595862	0.0912333779816898	0.5721475889997217	-0.05301330688790708	0.9760573704225216	1.1164229626392288	-0.1072734293842861	0.6257843036918648	0.5185108743075787	0.045047207068366166	-0.8122601070381932	-0.0740190289277175	0.2867291244533483	0.3936415091050061	-0.584243297934736	0.938124875763557	0.5303538899217222
ANDROGEN_RECEPTOR_SIGNALING	-0.11021929731023	-0.09040984655143902	0.6070000780702226	-0.1553323569086955	0.7354037858015172	1.145004702598646	0.11869092863621653	0.5476546137521143	0.6663455423883309	0.5368886211433204	-1.0188848639899222	-0.5687758189028331	-0.8043093611651837	-0.0318886212720643	0.0071667134795168	0.5712311994970121	0.6400152632410199
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	-0.09808029169441236	-0.05266909470675029	0.15232795153613377	0.44990164785675213	1.3409642136800488	-0.4285860671514454	-0.8084152072898017	0.5565355551810346	-0.25187965210876706	-0.702161501415687	0.5120363485796444	0.061356505798345	1.4716923478785662	0.3327292638980083	-0.2572233320109406	-0.9779976514567984	-0.0897072273727051
ARGININE_NO_UREA	0.6026985283552256	0.21469442264430785	-0.08142786526772522	0.31270266869199764	-0.026862113922446647	-0.3474940930166417	-0.1402368519014465	-0.01130943931700197	-0.15154629121844848	1.4385237823077388	-0.4660615902556366	-0.1685339223966387	0.0918537878557965	0.2822793810300354	-0.3257433984221691	-0.330263936679599	0.7359283512934944
