feature_id	axis	display_label	proposed_figure_family	n_effect_contexts	n_datasets	datasets	n_positive_contexts	n_negative_contexts	directional_coherence_fraction	dominant_direction	median_effect	median_absolute_effect	max_absolute_effect	n_large_effect_contexts	n_moderate_effect_contexts	n_datasets_large_effect	n_datasets_moderate_effect	n_FDR10_contexts	cross_dataset_priority_score	validation_class
AMPK_SIGNALING	carbohydrate_inflammatory_carbon	AMPK signaling	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	8	1	0.8888888888888888	positive	0.3936415091050061	0.5185108743075787	0.938124875763557	1	5	1	2	0	12.962955318752023	two_dataset_moderate_effect
PURINE_DE_NOVO_SYNTHESIS	nucleotide_nad_nitrogen	De novo purine synthesis	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.3583947091558266	0.4173728526439439	1.0412989905292878	1	3	1	3	0	12.306261741532833	broad_multi_dataset_moderate_effect
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	steroid_cholesterol_endocrine	Androgen and testosterone biosynthesis	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	3	6	0.6666666666666666	negative	-0.09808029169441236	0.2572233320109406	0.9779976514567984	1	3	1	3	0	12.090556665344275	broad_multi_dataset_moderate_effect
PENTOSE_PHOSPHATE_PATHWAY	carbohydrate_inflammatory_carbon	Pentose-phosphate pathway	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.13243064016115808	0.377739663449227	0.6129351439755868	0	2	0	2	2	11.655517441227005	multi_context_FDR_supported
AMINO_ACID_TRANSPORT	amino_acid_metabolism	Amino-acid transport	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.4234980071502635	0.4234980071502635	1.5424044949776035	1	3	1	2	0	10.812386896039152	two_dataset_moderate_effect
TCA_OXPHOS	carbohydrate_inflammatory_carbon	TCA cycle and oxidative phosphorylation	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.043976593863221225	0.39942720935983544	0.9104433454479705	1	3	1	2	0	10.677204987137614	two_dataset_moderate_effect
CHOLESTEROL_BIOSYNTHESIS	steroid_cholesterol_endocrine	Cholesterol biosynthesis	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	6	3	0.6666666666666666	positive	0.11981084849114046	0.2253376102206074	1.1791840557458284	1	3	1	2	0	10.558670943553942	two_dataset_moderate_effect
BRANCHED_CHAIN_AMINO_ACIDS	amino_acid_metabolism	Branched-chain amino-acid metabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.0684472456905793	0.1904363741608624	0.9393602518520584	1	3	1	2	0	10.468214151938641	two_dataset_moderate_effect
ANDROGEN_RECEPTOR_SIGNALING	steroid_cholesterol_endocrine	Androgen receptor signaling	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	6	3	0.6666666666666666	positive	0.5368886211433204	0.5368886211433204	0.6663455423883309	0	5	0	3	0	10.370221954476655	broad_multi_dataset_moderate_effect
PURINE_SALVAGE	nucleotide_nad_nitrogen	Purine salvage	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.13081451183130122	0.3491030007321404	1.4487437909106362	1	1	1	1	1	10.23799188962103	single_dataset_or_context_specific
