dataset	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	welch_p_value	permutation_p_value	permutation_method	n_permutations	auc_group_a_higher	direction	permutation_q_within_contrast	welch_q_within_contrast	permutation_fdr_0_05	permutation_fdr_0_10
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	0.027623355594739163	-0.035392424355765784	0.06301577995050495	0.11981084849114046	0.5925945700878404	0.624937506249375	monte_carlo	10000	0.5213414634146342	higher_in_group_a	0.7764375077643751	0.7475808422646603	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.037577624288332605	-0.048146331119423944	0.08572395540775654	0.23743452465473888	0.33707457578748334	0.31356864313568644	monte_carlo	10000	0.5304878048780488	higher_in_group_a	0.48496631818299646	0.49357348597452916	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	-0.04400321505186143	0.05637911928519829	-0.10038233433705972	-0.15246435187234397	0.5179992673274442	0.5155484451554845	monte_carlo	10000	0.4496951219512195	higher_in_group_b	0.6818543952056407	0.6850958051750068	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	Figure_7	0.03046194194857776	-0.03902936312161332	0.06949130507019108	0.3278790487605357	0.15014100961437524	0.1601839816018398	monte_carlo	10000	0.5678353658536586	higher_in_group_a	0.29189081091890806	0.2798082451904266	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	-0.13016186845303584	0.1667698939554491	-0.29693176240848496	-0.7354618391696324	0.0021640212985793886	0.0027997200279972004	monte_carlo	10000	0.29496951219512196	higher_in_group_b	0.015305136153051362	0.011518143500785361	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	-0.07372461314604872	0.09445966059337686	-0.16818427373942557	-0.8651275556305188	0.0002967023340686003	0.0007999200079992001	monte_carlo	10000	0.27896341463414637	higher_in_group_b	0.0081991800819918	0.0033516968852853038	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	-0.02433731439383669	0.031182184067103692	-0.055519498460940384	-0.09808029169441236	0.6751093775560859	0.6759324067593241	monte_carlo	10000	0.47560975609756095	higher_in_group_b	0.8119564855108692	0.814102484699986	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	Figure_7	-0.10319044293601708	0.13221275501176885	-0.2354031979477859	-0.5821694227695053	0.014403928279278848	0.012098790120987902	monte_carlo	10000	0.3483231707317073	higher_in_group_b	0.039684031596840315	0.04374526366299502	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.027416964077156197	0.03512798522385763	-0.06254494930101383	-0.11021929731023	0.6518777746286805	0.6380361963803619	monte_carlo	10000	0.4847560975609756	higher_in_group_b	0.7808801209431295	0.7978205599933105	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY	human_urinary_systemic_inflammation_comparator	human_comparator_unadjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	0.15854113429809677	-0.20313082831943347	0.3616719626175302	0.9914658219870303	6.326865697606814e-05	0.00019998000199980003	monte_carlo	10000	0.7766768292682927	higher_in_group_a	0.0027330600273306003	0.0012970074680093968	True	True
