dataset	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	welch_p_value	permutation_p_value	permutation_method	n_permutations	auc_group_a_higher	direction	permutation_q_within_contrast	welch_q_within_contrast	permutation_fdr_0_05	permutation_fdr_0_10
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	-0.6933586853902315	0.6933586853902318	-1.3867173707804632	-1.1791840557458284	0.22879913928646345	0.3333333333333333	exact	6	0.0	higher_in_group_b	0.808080808080808	0.8638660809038166	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.2939034354046611	-0.29390343540466035	0.5878068708093214	0.7158495728136308	0.3370720022416426	0.6666666666666666	exact	6	0.75	higher_in_group_a	0.8888888888888888	0.8638660809038166	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	-0.08875857380157429	0.08875857380157443	-0.1775171476031487	-0.3566155416683578	0.6036111743132817	0.6666666666666666	exact	6	0.25	higher_in_group_b	0.8888888888888888	0.887980639398152	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	Figure_7	0.11347482965351519	-0.11347482965351355	0.22694965930702873	0.29430670773777184	0.6600551786076848	0.6666666666666666	exact	6	0.75	higher_in_group_a	0.8888888888888888	0.887980639398152	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	-0.09036210709916423	0.09036210709916427	-0.18072421419832851	-0.18336110814723716	0.8017249385830099	1.0	exact	6	0.5	higher_in_group_b	1.0	0.916257072666297	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	0.23013509528658405	-0.23013509528658332	0.46027019057316737	0.6820350103952629	0.4411687850463126	0.3333333333333333	exact	6	1.0	higher_in_group_a	0.808080808080808	0.8638660809038166	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	-0.1217431727938039	0.12174317279380364	-0.24348634558760754	-0.702161501415687	0.43391849385101716	0.3333333333333333	exact	6	0.0	higher_in_group_b	0.808080808080808	0.8638660809038166	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.3017393179515858	-0.30173931795158465	0.6034786359031705	0.5368886211433204	0.518096293788846	0.6666666666666666	exact	6	0.75	higher_in_group_a	0.8888888888888888	0.8638660809038166	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	0.3707227295908982	-0.37072272959089725	0.7414454591817954	1.1502346745187015	0.18307526908701022	0.3333333333333333	exact	6	1.0	higher_in_group_a	0.808080808080808	0.8638660809038166	False	False
GSE252321	GSE252321_UPEC_VS_CONTROL	whole_object_sample_pseudobulk_UPEC_response	exploratory_mouse_sample_pseudobulk	UPEC	control	2	2	submodule	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	Figure_7	0.11011113765620065	-0.11011113765620176	0.2202222753124024	0.20492992611440783	0.7546622126668919	0.6666666666666666	exact	6	0.75	higher_in_group_a	0.8888888888888888	0.9014576172112435	False	False
