figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	absolute_effect	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	refined_broad_cell_type	mean_control	mean_UPEC	difference_UPEC_minus_control	_value	targeted_measure	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority	_priority	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.090409846551439	standardized_module_score_beta	negative	False	0.6745086162504164	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.1914504339034529	standardized_module_score_beta	positive	False	0.1436501811691202	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.1062257048368329	standardized_module_score_beta	positive	False	0.44916790682154	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.1895567262598622	standardized_module_score_beta	positive	False	0.130976540396795	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.3307016024578986	standardized_module_score_beta	positive	True	0.0320706242949746	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3544038788068854	standardized_module_score_beta	positive	True	0.0225631882649487	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.1404068355936765	standardized_module_score_beta	positive	False	0.1823443553225024	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.5414109040698384	standardized_module_score_beta	positive	True	0.0023884175642688	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.5287083346929622	standardized_module_score_beta	positive	True	0.0047057391283306	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.2496277356094969	standardized_module_score_beta	positive	True	0.0326117192448908	1.0	human_systemic_urinary_inflammation_comparator																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.6070000780702226	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.5714152946126717	standardized_module_score_beta	positive	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.593588717978961	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.6586311933890442	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.7116572012171	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.7289353679747926	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.5414823937719221	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	-0.4517882407208367	standardized_module_score_beta	negative	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
