axis_score_id	axis	n_requested_submodules	n_available_submodules	available_submodules
AXIS__adipokine_signaling	adipokine_signaling	5	5	LEPTIN_SIGNALING;ADIPONECTIN_SIGNALING;RESISTIN_INFLAMMATORY_SIGNALING;ADIPOKINE_INFLAMMATORY_AXIS;PPARG_ADIPOMETABOLIC_REGULATION
AXIS__amino_acid_metabolism	amino_acid_metabolism	8	8	TRYPTOPHAN_KYNURENINE;ARGININE_NO_UREA;GLUTAMINE_GLUTAMATE;SERINE_GLYCINE_ONE_CARBON;METHIONINE_SAM_METHYLATION;BRANCHED_CHAIN_AMINO_ACIDS;AROMATIC_AMINO_ACID_METABOLISM;AMINO_ACID_TRANSPORT
AXIS__carbohydrate_inflammatory_carbon	carbohydrate_inflammatory_carbon	11	11	GLYCOLYSIS;GLUCONEOGENESIS;GLYCOGEN_SYNTHESIS;GLYCOGENOLYSIS;PENTOSE_PHOSPHATE_PATHWAY;TCA_OXPHOS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;AMPK_SIGNALING;MTOR_SIGNALING;GLUCOSE_TRANSPORT;AGE_RAGE_SIGNALING
AXIS__catecholamine_stress_adjacent	catecholamine_stress_adjacent	3	3	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION;ADRENERGIC_STRESS_SIGNALING;CATECHOLAMINE_IRON_REDOX_INTERFACE
AXIS__complement_architecture	complement_architecture	9	9	COMPLEMENT_CLASSICAL;COMPLEMENT_LECTIN;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC;COMPLEMENT_REGULATORS;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_C3A_C5A_SIGNALING
AXIS__immune_context_anchors	immune_context_anchors	6	6	TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;NEUTROPHIL_NETOSIS_ANCHOR;OXIDATIVE_STRESS_NRF2_ANCHOR;UROTHELIAL_BARRIER_REPAIR_ANCHOR;PREGNANCY_INFLAMMATION_ANCHOR
AXIS__insulin_irs_signaling	insulin_irs_signaling	4	4	INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;MTORC1_INSULIN_OUTPUT;AMPK_INSULIN_COUNTERREGULATION
AXIS__lipid_metabolism	lipid_metabolism	8	8	FATTY_ACID_SYNTHESIS;FATTY_ACID_BETA_OXIDATION;PHOSPHOLIPID_METABOLISM;SPHINGOLIPID_CERAMIDE_METABOLISM;EICOSANOID_PROSTAGLANDIN_METABOLISM;LIPID_DROPLET_DYNAMICS;PPAR_SREBP_LXR_REGULATION;FERROPTOSIS_LIPID_PEROXIDATION
AXIS__nucleotide_nad_nitrogen	nucleotide_nad_nitrogen	9	9	PURINE_DE_NOVO_SYNTHESIS;PURINE_SALVAGE;PURINE_DEGRADATION_URATE;PYRIMIDINE_SYNTHESIS;PYRIMIDINE_DEGRADATION;NAD_METABOLISM;UREA_CYCLE;NITRIC_OXIDE_SYNTHESIS_REGULATION;XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM
AXIS__steroid_cholesterol_endocrine	steroid_cholesterol_endocrine	14	14	CHOLESTEROL_BIOSYNTHESIS;CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT;STEROIDOGENESIS_CORE;PROGESTERONE_BIOSYNTHESIS_RESPONSE;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;TESTOSTERONE_CONVERSION_AROMATIZATION;ANDROGEN_RECEPTOR_SIGNALING;GLUCOCORTICOID_RESPONSE;MINERALOCORTICOID_RESPONSE;STEROID_SULFATION_DESULFATION;PLACENTAL_STEROID_METABOLISM;LXR_FXR_STEROL_SIGNALING
