control_artifact	path	exists
U27B3E3 phase decision	project://06_tables/phaseU27B3E3_supplementary_table_materialization/UTI_HostOmics_U27B3E3_phase_decision.tsv	False
U27B3E3 report	project://05_results/phaseU27B3E3_supplementary_table_materialization/UTI_HostOmics_U27B3E3_supplementary_materialization_report.md	False
U27B3E3 package ZIP	project://11_supplementary/phaseU27B3E3_supplementary_table_materialization/UTI_HostOmics_U27B3E3_Supplementary_Tables_S1-S10.zip	True
