panel	panel_title	feature_id	display_label	biological_priority	infection_direction	infection_coherence	preterm_effect	preterm_effect_class	infection_outcome_relation	figure_role
A	Robust cross-model inflammatory-metabolic core	LEPTIN_SIGNALING	Leptin signaling	robust_core	positive	1.0	-0.7524117043029656	negative	direction_reversal	primary_mechanistic_result_with_state_dependent_reversal
A	Robust cross-model inflammatory-metabolic core	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	robust_core	positive	1.0	-0.0580089231599877	near_neutral	pregnancy_near_neutral	primary_mechanistic_result_without_material_pregnancy_outcome_shift
A	Robust cross-model inflammatory-metabolic core	PI3K_AKT_SIGNALING	PI3K-AKT signaling	robust_core	positive	1.0	-0.6352753686157185	negative	direction_reversal	primary_mechanistic_result_with_state_dependent_reversal
B	Provisional complement core requiring cellular resolution	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	provisional_core_exploratory_dependent	positive	0.6923076923076923	-0.4971530114341522	negative	direction_reversal	secondary_result_pending_celltype_reconstruction_with_state_dependent_reversal
B	Provisional complement core requiring cellular resolution	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	provisional_core_exploratory_dependent	positive	0.6923076923076923	0.2878657120830686	positive	direction_preserved	secondary_result_pending_celltype_reconstruction
C	Secondary concordant metabolic and endocrine programmes	GLYCOGEN_SYNTHESIS	Glycogen synthesis	secondary	positive	0.6923076923076923	-0.3027964300522092	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
C	Secondary concordant metabolic and endocrine programmes	AMINO_ACID_TRANSPORT	Amino-acid transport	secondary	positive	0.6923076923076923	-0.9110329763420932	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
C	Secondary concordant metabolic and endocrine programmes	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	secondary	positive	0.9230769230769232	-0.501122242204225	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
C	Secondary concordant metabolic and endocrine programmes	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	secondary	positive	0.6923076923076923	-0.6759836665295377	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
C	Secondary concordant metabolic and endocrine programmes	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	secondary	positive	0.6923076923076923	-0.8043093611651837	negative	direction_reversal	supporting_mechanistic_result_with_state_dependent_reversal
D	Pregnancy branch-selective synthesis-response architecture	steroid_synthesis	Steroid Synthesis	pregnancy_domain_synthesis	not_applicable		0.1346352925632706	near_neutral	not_applicable	branch_selective_steroid_synthesis: core steroidogenesis and androgen/testosterone biosynthesis are positive, whereas estrogen and cholesterol biosynthesis are negative; do not describe the entire synthesis domain as globally increased
D	Pregnancy branch-selective synthesis-response architecture	steroid_receptor_response	Steroid Receptor Response	pregnancy_domain_synthesis	not_applicable		-0.8043093611651837	negative	not_applicable	uniform_receptor_response_attenuation: all five receptor-response programmes are negative across the tissue-collapsed comparison
D	Pregnancy branch-selective synthesis-response architecture	metabolic_effector_response	Metabolic Effector Response	pregnancy_domain_synthesis	not_applicable		-0.6759836665295377	negative	not_applicable	uniform_metabolic_effector_attenuation: insulin/IRS, PI3K-AKT, leptin, transport and carbon-use programmes are negative
D	Pregnancy branch-selective synthesis-response architecture	complement_effector_response	Complement Effector Response	pregnancy_domain_synthesis	not_applicable		0.3807106910720746	positive	not_applicable	branch_selective_complement_remodeling: classical, terminal-MAC and opsonophagocytosis are positive while C3a/C5a signaling is negative
