cluster	rank	gene_symbol	cluster_mean_log_expression	outside_mean_log_expression	specificity_difference	global_mean_log_expression
6	11	SPARC	0.5803431	0.080456786	0.49988633	0.106101006
6	12	MGL2	0.6819108	0.22235863	0.45955217	0.24593365
6	13	TNIP3	0.60024315	0.16901009	0.43123305	0.1911325
6	14	CD81	0.6172669	0.1874886	0.42977828	0.2095361
6	15	MGP	0.5116942	0.09857294	0.41312125	0.11976614
6	16	COL1A2	0.47232956	0.05954817	0.4127814	0.08072384
6	17	GM12374	0.575517	0.16423023	0.41128677	0.185329
6	18	COL3A1	0.4855193	0.082725905	0.40279338	0.10338924
6	19	CLEC4B1	0.5744333	0.18444693	0.3899864	0.20445332
6	20	PHLDA1	0.88916147	0.5028398	0.38632166	0.52265775
6	21	C1QC	0.9239416	0.54486114	0.37908047	0.564308
6	22	DCN	0.4498292	0.07154459	0.3782846	0.09095055
6	23	COL1A1	0.38359368	0.047794256	0.33579943	0.06502074
6	24	C1QA	0.79389745	0.47692338	0.31697407	0.49318436
6	25	F13A1	0.73959637	0.4327455	0.30685088	0.44848755
7	1	CD83	1.2658594	0.26679626	0.99906313	0.3270397
7	2	CCND1	1.473993	0.5409681	0.9330248	0.59722817
7	3	RGS1	1.7374735	0.85883546	0.878638	0.9118183
7	4	IFITM1	1.2228503	0.47349164	0.74935865	0.5186778
7	5	LY6A	1.2690583	0.58407253	0.6849858	0.62537605
7	6	KLRD1	0.9437093	0.38581538	0.55789393	0.41945624
7	7	TNFSF9	0.87212723	0.31645235	0.5556749	0.34995872
7	8	H2-DMB2	0.75560653	0.22120534	0.5344012	0.2534297
7	9	TNIP3	0.6682776	0.16051438	0.50776327	0.1911325
7	10	CLEC10A	0.8267086	0.32810006	0.49860856	0.35816616
7	11	CD209A	1.0636262	0.5866847	0.47694147	0.6154448
7	12	AA467197	0.6361299	0.2000059	0.43612403	0.22630425
7	13	SLAMF9	0.6361709	0.21381527	0.42235565	0.23928331
7	14	CD72	0.5597472	0.14059944	0.4191478	0.16587411
7	15	ISG15	1.2596054	0.84482974	0.41477567	0.86984134
7	16	CCR7	0.44033095	0.034351528	0.40597942	0.058832087
7	17	IFI205	0.9156436	0.5110548	0.40458876	0.53545177
7	18	NR4A3	0.5321753	0.14236054	0.38981476	0.16586635
7	19	IFIT2	0.81412506	0.45456496	0.3595601	0.47624636
7	20	DDIT4	0.66601133	0.31358558	0.35242575	0.3348366
7	21	P2RY10	0.5878665	0.25298354	0.33488294	0.2731767
7	22	NR4A2	0.50052184	0.18044242	0.32007942	0.19974332
7	23	H2-OA	0.44901466	0.14419672	0.30481794	0.16257735
7	24	EMP1	0.6327899	0.33589765	0.29689226	0.3538007
