cluster	rank	gene_symbol	cluster_mean_log_expression	outside_mean_log_expression	specificity_difference	global_mean_log_expression
0	14	KLRK1	1.7108668	0.29699633	1.4138705	0.33729172
0	15	NCR1	1.3210208	0.056473833	1.264547	0.09251342
0	16	CTLA2A	1.4581275	0.32533363	1.1327939	0.35761833
0	17	KLRA9	1.1874471	0.056479327	1.1309677	0.08871192
0	18	PTPRCAP	1.3904576	0.29543883	1.0950189	0.3266466
0	19	SEPT1	1.3780639	0.30423576	1.0738282	0.33483994
0	20	GIMAP6	1.2121071	0.24676469	0.9653424	0.2742767
0	21	PRF1	1.0161393	0.05976086	0.9563784	0.0870176
0	22	H2-Q7	1.3942271	0.45277274	0.9414544	0.47960407
0	23	KLRA4	0.97188395	0.044135064	0.9277489	0.07057589
0	24	HCST	1.1919229	0.32107368	0.87084925	0.34589317
0	25	GIMAP3	1.1714936	0.30338946	0.8681042	0.32813084
1	1	LY6C2	1.9125917	0.7185816	1.19401	0.9026986
1	2	CHIL3	1.2170546	0.4089343	0.8081203	0.5335461
1	3	F13A1	0.90733194	0.36483428	0.54249763	0.44848755
1	4	IFI204	1.2827337	0.79667634	0.48605734	0.8716261
1	5	VCAN	0.63410693	0.15287942	0.48122752	0.22708464
1	6	FN1	1.0563651	0.63539964	0.4209655	0.70031273
1	7	MX1	0.6913183	0.27097133	0.42034695	0.33578873
1	8	SELL	0.9877455	0.62694675	0.36079878	0.6825823
1	9	FCGR1	0.8432684	0.48588198	0.3573864	0.54099065
1	10	HP	0.7549993	0.43490732	0.32009196	0.48426533
1	11	MS4A6D	0.80373514	0.48471868	0.31901646	0.5339106
1	12	IFI213	0.6071663	0.29263577	0.31453052	0.34113634
1	13	MAFB	0.81436884	0.5042354	0.31013346	0.5520577
1	14	I830127L07RIK	0.33214682	0.030508649	0.3016382	0.07702124
1	15	MGST1	0.38234758	0.08363382	0.29871377	0.12969549
1	16	THBS1	0.93880063	0.6509901	0.2878105	0.6953689
1	17	MSR1	0.65809566	0.38564342	0.27245224	0.4276554
1	18	GM9733	0.4063744	0.14292154	0.26345286	0.18354613
1	19	APOE	1.7747309	1.5136462	0.26108468	1.5539024
1	20	C3	0.40642473	0.16980127	0.23662347	0.20628858
1	21	GSR	0.6731638	0.4515747	0.22158906	0.4857443
1	22	KLRA2	0.4042143	0.18326682	0.22094747	0.21733698
1	23	CD7	0.37995335	0.16737162	0.21258174	0.2001517
1	24	SLFN4	1.733876	1.5266205	0.20725548	1.5585791
1	25	CCL2	1.0693718	0.86761636	0.20175546	0.898728
2	1	CMA1	5.511391	0.0965632	5.414828	0.13609144
2	2	CPA3	5.362624	0.07099006	5.291634	0.109619014
2	3	TPSB2	4.9722877	0.060717136	4.9115705	0.096571594
2	4	MCPT4	4.149417	0.04285603	4.1065607	0.07283392
2	5	SERPINB1A	2.8952165	0.13417108	2.7610455	0.15432681
2	6	KIT	2.7002518	0.10400352	2.5962484	0.122956164
2	7	CD63	2.7510092	0.22840722	2.522602	0.24682206
2	8	IL1RL1	2.5034938	0.17153156	2.331962	0.1885548
2	9	FCER1A	2.3372712	0.008469948	2.3288012	0.02547019
2	10	HDC	2.6309602	0.5409883	2.089972	0.5562448
2	11	MRGPRB1	2.0171504	0.005456323	2.0116942	0.020141695
2	12	GATA2	1.9317949	0.0094799865	1.9223149	0.023512878
2	13	CYP11A1	1.9090039	0.0057813264	1.9032226	0.019674852
2	14	SLC18A2	1.763969	0.006588849	1.7573801	0.01941772
2	15	HES1	1.8167895	0.18238236	1.6344072	0.19431353
