gene_symbol	mean_log_expression	variance_log_expression	dispersion_score	hvg_rank
HBB-BT	0.047236107	0.15729266	3.329854	1
HBA-A2	0.087393634	0.29025042	3.321147	2
MCPT4	0.07283392	0.22452092	3.0826	3
TPSB2	0.096571594	0.28780404	2.9801834	4
GZMA	0.30794007	0.9010643	2.926093	5
CPA3	0.109619014	0.31918642	2.9117532	6
PRSS34	0.010971213	0.03133157	2.855538	7
HBA-A1	0.13709475	0.3839025	2.8002508	8
MRGPRB1	0.020141695	0.055298302	2.745328	9
CMA1	0.13609144	0.3734403	2.7440195	10
KLRA8	0.117470376	0.31931484	2.7182353	11
MCPT8	0.010507665	0.027634008	2.6296403	12
FCER1A	0.02547019	0.06615408	2.5972118	13
TRDC	0.100613676	0.2586973	2.5711687	14
KLRA9	0.08871192	0.22758898	2.565455	15
ALAS2	0.010036364	0.025584923	2.5489683	16
KLRA4	0.07057589	0.17704824	2.5085864	17
CXCL9	0.022138562	0.055232428	2.4947388	18
NKG7	0.31797317	0.79191476	2.4905002	19
CCL5	0.49709675	1.2341177	2.482646	20
MS4A1	0.013406228	0.033206973	2.4767962	21
TPSAB1	0.016623853	0.040874463	2.458636	22
HBB-BS	0.18056159	0.43241152	2.3948014	23
CCL22	0.026655523	0.063234866	2.3722098	24
KLRA3	0.06941046	0.16169088	2.3294551	25
CALCA	0.052264564	0.121609576	2.326763	26
GZMB	0.1722683	0.40075517	2.3263295	27
S100A9	1.1405394	2.6334538	2.3089528	28
CYP11A1	0.019674852	0.045409147	2.3078618	29
SPARCL1	0.028650718	0.06593774	2.301354	30
KLRA1	0.024033992	0.05457417	2.2706132	31
HES1	0.19431353	0.44030976	2.2659643	32
CD8B1	0.03571794	0.08086108	2.2638152	33
CSF2	0.10296533	0.23295304	2.2624195	34
CXCR2	0.47435355	1.063896	2.2428286	35
CD163L1	0.041591644	0.09315236	2.2396355	36
KLRG1	0.23925073	0.5347181	2.23496	37
S100A8	0.82282823	1.8375738	2.2332382	38
FBLN1	0.024589516	0.054654088	2.2225678	39
XCL1	0.08673579	0.1926202	2.220744	40
KLRA7	0.059466694	0.13203976	2.2203612	41
SIGLECH	0.01868964	0.041486185	2.2196236	42
MRGPRB2	0.013681034	0.030291393	2.213954	43
ACOD1	0.53375286	1.1793568	2.2095518	44
IGLC2	0.011124581	0.0243574	2.1893148	45
TCRG-C1	0.21877721	0.47751606	2.1826491	46
KLRA13-PS	0.07106496	0.15499194	2.180959	47
PF4	0.3779839	0.81997025	2.16932	48
IL5	0.052973606	0.114408225	2.1596806	49
IFNG	0.09488071	0.20419843	2.152137	50
MS4A2	0.012763654	0.027469076	2.151964	51
LYZ1	0.093032666	0.19958891	2.1453407	52
GATA2	0.023512878	0.050358694	2.1416583	53
COL1A1	0.06502074	0.13911855	2.1395698	54
RETNLG	0.32402396	0.69303	2.1388166	55
SPP1	0.4329322	0.9255873	2.1379447	56
TRDV4	0.05928924	0.12673907	2.1376042	57
LUM	0.02814607	0.06008693	2.134749	58
G0S2	0.41340965	0.8821991	2.1339533	59
PRG4	0.029927626	0.06382993	2.1327384	60
CCL8	0.04222499	0.08989252	2.1288435	61
CHIL3	0.5335461	1.1347914	2.1268814	62
SLC18A2	0.01941772	0.04129278	2.126442	63
IL17A	0.013232604	0.028045489	2.1192632	64
GM5483	0.07347622	0.15504088	2.1100538	65
CCR7	0.058832087	0.1240125	2.10787	66
KLRC1	0.07061963	0.14840408	2.1014268	67
MMP9	0.5115074	1.0698551	2.091569	68
COL6A1	0.021780882	0.045463853	2.0872326	69
TRAC	0.1216185	0.25375688	2.0864818	70
HDC	0.5562448	1.1601056	2.0855987	71
CXCL3	0.26165205	0.5453424	2.0842195	72
COL6A2	0.02199055	0.04581781	2.083428	73
KLRB1C	0.115922764	0.2415026	2.0832882	74
STFA2L1	0.13265063	0.27501628	2.0732222	75
PRF1	0.0870176	0.17950003	2.0627778	76
PPBP	0.023838049	0.04915269	2.0618563	77
ATP8B5	0.014120215	0.029089544	2.0599887	78
RETNLA	0.3747318	0.77157354	2.0589964	79
KLRE1	0.14022122	0.28860292	2.0581825	80
MCUB_2	0.08939264	0.18374582	2.0554686	81
FOXP3	0.019532507	0.04014765	2.0553222	82
MMP12	0.018808162	0.03864751	2.0547173	83
SERPINA3N	0.014884253	0.030529799	2.0510097	84
FSCN1	0.025299046	0.051880974	2.0506277	85
CXCL1	0.529852	1.0843878	2.0465825	86
GSDMC2	0.014659923	0.030002426	2.0464215	87
LCN2	0.2088322	0.42728284	2.0460484	88
PTGS2	1.0376612	2.1228771	2.045827	89
CD209A	0.6154448	1.2587409	2.0452507	90
MS4A4B	0.34428552	0.7027489	2.0411744	91
COL1A2	0.08072384	0.16476631	2.0410857	92
CCL12	0.27511913	0.55898786	2.0317955	93
DPT	0.01589324	0.032289125	2.0314984	94
BGN	0.039574217	0.08039432	2.031431	95
TIMP3	0.016266048	0.033033043	2.0306723	96
ASPRV1	0.1957336	0.39698267	2.028168	97
SERPINB9B	0.017004004	0.034461625	2.026558	98
CCL17	0.025353966	0.051327407	2.0243533	99
LY6D	0.06558315	0.13275501	2.0241938	100
CLEC3B	0.012873136	0.02603468	2.0222466	101
LYVE1	0.024866475	0.050261997	2.0211942	102
FSTL1	0.024303693	0.049087953	2.0196903	103
HS6ST2	0.013107987	0.026449393	2.0176535	104
SPARC	0.106101006	0.21375732	2.0146399	105
DCN	0.09095055	0.18305592	2.0126753	106
CCL7	0.52996004	1.0663921	2.0122085	107
IL1B	1.6760465	3.3712065	2.0114028	108
TNFRSF4	0.027270038	0.05483209	2.0106344	109
