sample_id	condition	cluster	n_cells	fraction_of_QC_cells
GSM7999426_Control_1	control	13	861	0.1463290278721958
GSM7999426_Control_1	control	10	588	0.09993201903467029
GSM7999426_Control_1	control	1	502	0.08531611148878314
GSM7999426_Control_1	control	12	498	0.08463630183548607
GSM7999426_Control_1	control	11	436	0.07409925220938138
GSM7999426_Control_1	control	15	423	0.07188987083616587
GSM7999426_Control_1	control	17	403	0.06849082256968049
GSM7999426_Control_1	control	6	367	0.0623725356900068
GSM7999426_Control_1	control	5	301	0.05115567641060503
GSM7999426_Control_1	control	7	252	0.04282800815771584
GSM7999426_Control_1	control	16	240	0.04078857919782461
GSM7999426_Control_1	control	4	240	0.04078857919782461
GSM7999426_Control_1	control	0	217	0.03687967369136642
GSM7999426_Control_1	control	8	161	0.02736233854520734
GSM7999426_Control_1	control	3	153	0.02600271923861319
GSM7999426_Control_1	control	9	132	0.022433718558803536
GSM7999426_Control_1	control	2	68	0.011556764106050306
GSM7999426_Control_1	control	14	42	0.007138001359619306
GSM7999427_Control_2	control	1	1462	0.17206072731552313
GSM7999427_Control_2	control	13	1351	0.15899729316229258
GSM7999427_Control_2	control	10	1149	0.13522419677533248
GSM7999427_Control_2	control	12	710	0.0835589031422855
GSM7999427_Control_2	control	17	702	0.0826173943744851
GSM7999427_Control_2	control	6	535	0.06296339884665177
GSM7999427_Control_2	control	16	516	0.06072731552312581
GSM7999427_Control_2	control	5	469	0.05519595151229846
GSM7999427_Control_2	control	0	397	0.04672237260209486
GSM7999427_Control_2	control	7	311	0.03660115334824056
GSM7999427_Control_2	control	11	270	0.031775920913263506
GSM7999427_Control_2	control	8	176	0.020713192891608802
GSM7999427_Control_2	control	3	160	0.018830175356008002
GSM7999427_Control_2	control	15	126	0.014828763092856303
GSM7999427_Control_2	control	2	106	0.012474991173355302
GSM7999427_Control_2	control	9	24	0.0028245263034012004
GSM7999427_Control_2	control	14	24	0.0028245263034012004
GSM7999427_Control_2	control	4	9	0.00105919736377545
GSM7999428_UPEC_1	UPEC	1	1344	0.1895360315893386
GSM7999428_UPEC_1	UPEC	3	1282	0.18079255394161614
GSM7999428_UPEC_1	UPEC	9	1086	0.15315188266817092
GSM7999428_UPEC_1	UPEC	12	680	0.09589620645889155
GSM7999428_UPEC_1	UPEC	7	455	0.06416584402764067
GSM7999428_UPEC_1	UPEC	13	374	0.05274291355239035
GSM7999428_UPEC_1	UPEC	4	356	0.05020448455789028
GSM7999428_UPEC_1	UPEC	6	268	0.037794387251445495
GSM7999428_UPEC_1	UPEC	5	236	0.03328162459455648
GSM7999428_UPEC_1	UPEC	10	217	0.03060217176702863
GSM7999428_UPEC_1	UPEC	8	198	0.027922718939500775
GSM7999428_UPEC_1	UPEC	15	174	0.024538146946834014
GSM7999428_UPEC_1	UPEC	17	170	0.023974051614722887
GSM7999428_UPEC_1	UPEC	0	107	0.015089550133972642
GSM7999428_UPEC_1	UPEC	16	67	0.009448596812861374
GSM7999428_UPEC_1	UPEC	11	53	0.00747426315047243
GSM7999428_UPEC_1	UPEC	2	18	0.0025384289945000705
GSM7999428_UPEC_1	UPEC	14	6	0.0008461429981666902
GSM7999429_UPEC_2	UPEC	1	1037	0.17537628953154066
GSM7999429_UPEC_2	UPEC	12	624	0.10553018772196854
GSM7999429_UPEC_2	UPEC	7	597	0.10096397767630644
GSM7999429_UPEC_2	UPEC	9	534	0.09030948756976154
GSM7999429_UPEC_2	UPEC	15	494	0.08354473194655843
GSM7999429_UPEC_2	UPEC	3	385	0.06511077287332995
GSM7999429_UPEC_2	UPEC	4	378	0.0639269406392694
GSM7999429_UPEC_2	UPEC	13	312	0.05276509386098427
GSM7999429_UPEC_2	UPEC	6	276	0.04667681380010147
GSM7999429_UPEC_2	UPEC	5	267	0.04515474378488077
GSM7999429_UPEC_2	UPEC	10	247	0.04177236597327921
GSM7999429_UPEC_2	UPEC	17	210	0.035514967021816335
GSM7999429_UPEC_2	UPEC	8	170	0.028750211398613224
GSM7999429_UPEC_2	UPEC	11	153	0.0258751902587519
GSM7999429_UPEC_2	UPEC	16	111	0.018772196854388634
GSM7999429_UPEC_2	UPEC	0	101	0.017081007948587856
GSM7999429_UPEC_2	UPEC	2	11	0.0018603077963808556
GSM7999429_UPEC_2	UPEC	14	6	0.0010147133434804667
