working_figure_number	final_figure	panel	construction_mode	primary_source	source_id	hard_legacy_asset_dependency
1	Figure_1	A	conceptual_rebuild	working Figure 1; U26A module architecture	01_study_design_and_question_map	False
1	Figure_1	B	table_driven_rebuild	dataset/sample manifests; working Figure 1	dataset_manifest	False
