contrast_id	tissue	analysis_status	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	hedges_g_ci_low	hedges_g_ci_high	welch_t	p_value	auc_group_a_higher	direction	interpretation	q_value_within_contrast	fdr_0_05	fdr_0_10	evidence_tier	stability_class	permutation_p_value	permutation_method	n_permutations	stable_hedges_g_ci_low	stable_hedges_g_ci_high	effect_ci_status	permutation_q_within_contrast	permutation_q_within_family	permutation_fdr_0_05	permutation_fdr_0_10	family_fdr_0_10
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	Figure_7	-0.531283810229035	0.3348128511804427	-0.8660966614094778	-1.0043624387896692	-4.019815534401778	0.0	-1.706952712230783	0.186548577385866	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.2	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	Figure_7	-0.3429558036719339	0.3502314691270442	-0.6931872727989781	-0.8498725044201506	-3.6684942993177474	0.0	-1.6280186492211872	0.234774071719874	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4721249725154932	False	False	secondary_exploratory	exploratory_tiny_group	0.3	exact	10			suppressed_min_group_below_4	0.5651162790697675	0.44	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	Figure_7	-0.0459840131997688	0.0831374175805396	-0.1291214307803084	-0.2257794423301312	-0.9149358341284636	3.789206404972839	-0.4333370422307376	0.7042847011704245	0.6666666666666666	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.781466586230197	False	False	secondary_exploratory	exploratory_tiny_group	1.0	exact	10			suppressed_min_group_below_4	1.0	1.0	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	-0.4238075003287383	-0.0021157662658402	-0.421691734062898	-0.4237087120432005	-2.167798691784772	2.487749784642221	-0.6314181875252952	0.5872565883735729	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.6795397665465629	False	False	secondary_exploratory	exploratory_tiny_group	0.6	exact	10			suppressed_min_group_below_4	0.7838709677419355	0.7333333333333333	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	-1.1064047774393473	0.47105454226147	-1.577459319700817	-1.3624587757735964	-6.668465276479824	0.0	-2.383764790766816	0.0981711497101202	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.2	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	Figure_7	-0.4230680265016616	0.352987504643356	-0.7760555311450176	-0.7027745213489606	-3.541115630350495	0.6654600936091951	-1.135654939020976	0.3442948379992191	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.5257766462898873	False	False	secondary_exploratory	exploratory_tiny_group	0.6	exact	10			suppressed_min_group_below_4	0.7838709677419355	0.7333333333333333	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	Figure_7	-0.4154574271200834	0.3759803963670193	-0.7914378234871028	-0.9627235787076224	-20.165531202458308	0.0	-1.8707850747725845	0.2017671046374908	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.3	exact	10			suppressed_min_group_below_4	0.5651162790697675	0.44	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	Figure_7	-0.5114656147514586	0.4508108089152576	-0.9622764236667162	-1.083877198806066	-9.244352545214976	0.0	-1.8442827983376424	0.162480529470806	0.0	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.4641239498679804	False	False	secondary_exploratory	exploratory_tiny_group	0.2	exact	10			suppressed_min_group_below_4	0.5399999999999999	0.4	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	Figure_7	-0.1449500124280188	0.2878151458880824	-0.4327651583161012	-0.3876836308344555	-1.1600219710489437	1.5018016075089349	-0.7445080258619086	0.5294042469663136	0.5	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.6400260299144985	False	False	secondary_exploratory	exploratory_tiny_group	0.9	exact	10			suppressed_min_group_below_4	0.9851351351351352	0.99	False	False	False
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	-0.7320695489656933	0.1380476063350832	-0.8701171553007766	-0.5887955508699344	-4.626149056478472	0.8658636972928057	-1.0375982492908202	0.3770640623375581	0.1666666666666666	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.5464404027515444	False	False	secondary_exploratory	exploratory_tiny_group	0.5	exact	10			suppressed_min_group_below_4	0.7105263157894737	0.6875	False	False	False
