contrast_id	tissue	group_a	group_b	axis	axis_score_id	n_group_a	n_group_b	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	permutation_p_value	permutation_method	n_permutations	stability_class	permutation_q_within_contrast	fdr_0_05	fdr_0_10
C1_PRETERM_VS_TERM	placenta	UTI89_preterm	UTI89_term	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	12	6	0.010065720272988127	0.1612876337986437	-0.15122191352565556	-0.3088408428098284	0.5195480451954805	monte_carlo	10000	moderate_stability	0.9417058294170582	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	adipokine_signaling	AXIS__adipokine_signaling	6	3	0.09957492848481232	0.22436288269781182	-0.1247879542129995	-0.5477072942976606	0.42857142857142855	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	amino_acid_metabolism	AXIS__amino_acid_metabolism	6	3	0.10197401947455581	0.1359606651565069	-0.03398664568195109	-0.07880384005379017	0.9285714285714286	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	carbohydrate_inflammatory_carbon	AXIS__carbohydrate_inflammatory_carbon	6	3	0.1347700538697052	0.09031907346570243	0.04445098040400276	0.08560987574319145	0.9047619047619048	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	catecholamine_stress_adjacent	AXIS__catecholamine_stress_adjacent	6	3	0.10381382336557361	0.13761019663712867	-0.03379637327155506	-0.10273427976572065	0.8571428571428571	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	complement_architecture	AXIS__complement_architecture	6	3	0.14331777337349805	0.022099584273502757	0.1212181890999953	0.3983190970101239	0.5476190476190477	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	immune_context_anchors	AXIS__immune_context_anchors	6	3	0.11357282246682378	0.1400585971516455	-0.02648577468482173	-0.06470733078309138	0.9404761904761905	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	insulin_irs_signaling	AXIS__insulin_irs_signaling	6	3	0.08094151609181678	0.29428968104445347	-0.2133481649526367	-0.4658833468030584	0.4642857142857143	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	lipid_metabolism	AXIS__lipid_metabolism	6	3	0.10354642888957945	0.07786848790059359	0.025677940988985862	0.06229367937321216	0.9285714285714286	exact	84	small_group	0.9404761904761905	False	False
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	nucleotide_nad_nitrogen	AXIS__nucleotide_nad_nitrogen	6	3	0.09293271016290183	0.0385084805307901	0.054424229632111736	0.11692980898178404	0.8333333333333334	exact	84	small_group	0.9404761904761905	False	False
