contrast_id	feature_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g
C2_UPEC_VS_PBS_PREGNANCY	LEPTIN_SIGNALING	adipokine_signaling	Leptin signaling	Figure_8	3	2	1	0.6666666666666666	positive	0.3394515424730212	0.4561244634083586
C2_UPEC_VS_PBS_PREGNANCY	LIPID_DROPLET_DYNAMICS	lipid_metabolism	Lipid-droplet dynamics	Figure_7	3	2	1	0.6666666666666666	positive	0.2193009933274784	0.44131116394502995
C2_UPEC_VS_PBS_PREGNANCY	LXR_FXR_STEROL_SIGNALING	steroid_cholesterol_endocrine	LXR and FXR sterol signaling	Figure_7	3	2	1	0.6666666666666666	positive	0.1845363567021631	0.3517231372113397
C2_UPEC_VS_PBS_PREGNANCY	METHIONINE_SAM_METHYLATION	amino_acid_metabolism	Methionine and SAM metabolism	Figure_9	3	2	1	0.6666666666666666	positive	0.2038560933422443	0.31837418349789076
C2_UPEC_VS_PBS_PREGNANCY	MINERALOCORTICOID_RESPONSE	steroid_cholesterol_endocrine	Mineralocorticoid response	Figure_7	3	2	1	0.6666666666666666	positive	0.4382564416029907	0.41664695297769727
C2_UPEC_VS_PBS_PREGNANCY	MTORC1_INSULIN_OUTPUT	insulin_irs_signaling	mTORC1 insulin output	Figure_8	3	2	1	0.6666666666666666	positive	0.2898294371376078	0.4084372702863073
C2_UPEC_VS_PBS_PREGNANCY	MTOR_SIGNALING	carbohydrate_inflammatory_carbon	mTOR signaling	Figure_8	3	2	1	0.6666666666666666	positive	0.4048917584702233	0.4572324694385567
C2_UPEC_VS_PBS_PREGNANCY	NAD_METABOLISM	nucleotide_nad_nitrogen	NAD metabolism	Figure_9	3	2	1	0.6666666666666666	positive	0.2448261451459954	0.5151744658526773
C2_UPEC_VS_PBS_PREGNANCY	NEUTROPHIL_NETOSIS_ANCHOR	immune_context_anchors	Neutrophil and NETosis anchor	Integrated_network	3	2	1	0.6666666666666666	positive	0.1432238542689094	0.5345910286160318
C2_UPEC_VS_PBS_PREGNANCY	NFKB_MAPK_INFLAMMATION_ANCHOR	immune_context_anchors	NF-kB and MAPK inflammation anchor	Integrated_network	3	2	1	0.6666666666666666	positive	0.3401538440683138	0.4202083834524358
