contrast_id	tissue	analysis_status	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	hedges_g_ci_low	hedges_g_ci_high	welch_t	p_value	auc_group_a_higher	direction	interpretation	q_value_within_contrast	fdr_0_05	fdr_0_10	evidence_tier	stability_class	permutation_p_value	permutation_method	n_permutations	stable_hedges_g_ci_low	stable_hedges_g_ci_high	effect_ci_status	permutation_q_within_contrast	permutation_q_within_family	permutation_fdr_0_05	permutation_fdr_0_10	family_fdr_0_10
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.0283779600529076	0.6927128767729155	-0.6643349167200078	-0.8527724012270284	-3.543784717444178	0.5949037624199295	-1.1048650419905202	0.3591104085384425	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.2619047619047619	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5952380952380952	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	-0.1210908119784406	0.6334990679397944	-0.7545898799182351	-1.0885162443443697	-3.241990829225694	-0.051627892771571	-1.517305744325355	0.2254806873257621	0.2222222222222222	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.14285714285714285	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.5952380952380952	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	0.0457228476316828	0.6807300626965395	-0.6350072150648567	-1.0249915329895265	-3.216898515607601	0.1852529482713713	-1.3962982625738398	0.2598334431170015	0.1666666666666666	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.14285714285714285	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.6462585034013605	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	0.1007444574022394	0.6274126665589728	-0.5266682091567333	-0.9867953184936026	-2.772654653013772	-0.0747719474341782	-1.7376819227379567	0.1388018386527328	0.1666666666666666	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.19047619047619047	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.6462585034013605	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	-0.0922853375538247	0.4466252375028428	-0.5389105750566675	-0.974855358925732	-3.847312049045852	0.3984405191011578	-1.217033780118597	0.3257415433803862	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.19047619047619047	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.6462585034013605	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.0947928628851687	0.6689199261087575	-0.5741270632235888	-0.9110329763420932	-3.571825210959347	0.5027683597441323	-1.2009371904727448	0.3233316981103927	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.2261904761904762	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.6462585034013605	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	Figure_9	-0.0106404639541117	0.5387259778157446	-0.5493664417698564	-0.9815447317630288	-3.5329080067843064	0.1508549423766388	-1.3338034789791011	0.2776407806885304	0.2222222222222222	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.17857142857142858	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.6462585034013605	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	Figure_9	0.0943120557933919	0.7882328638909794	-0.6939208080975874	-0.90439918257767	-2.8035422116795226	0.2637428488408057	-1.2450184361742886	0.3025526397359295	0.2777777777777778	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.2261904761904762	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.6462585034013605	False	False	False
C1_PRETERM_VS_TERM	bladder	primary	UTI89_preterm	UTI89_term	6	3	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	Figure_9	0.0656312873329941	0.5166047528313952	-0.450973465498401	-0.8425826478345854	-2.476508291283418	0.2689584841803506	-1.3554748114029578	0.2434458303233393	0.1666666666666666	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9496436350759748	False	False	primary	small_group	0.2261904761904762	exact	84			suppressed_min_group_below_4	0.9211087420042643	0.6462585034013605	False	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	0.0730386304415242	-0.5033195820218613	0.5763582124633855	1.1508293610411644	-0.4155541196178828	3.87327682010171	1.315500969689903	0.3027579127063138	0.7575757575757576	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.9908311375063732	False	False	primary	small_group	0.10164835164835165	exact	364			suppressed_min_group_below_4	0.9819024725274724	0.9193175245806825	False	False	False
