path	filename	format	exists	size_bytes	png_width_px	png_height_px
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_1.png	UTI_HostOmics_U27B2C1_Figure_1.png	png	True	406069	2125	2670
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_1.svg	UTI_HostOmics_U27B2C1_Figure_1.svg	svg	True	192612		
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_1.pdf	UTI_HostOmics_U27B2C1_Figure_1.pdf	pdf	True	40603		
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_2.png	UTI_HostOmics_U27B2C1_Figure_2.png	png	True	519093	2125	2880
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_2.svg	UTI_HostOmics_U27B2C1_Figure_2.svg	svg	True	277504		
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_2.pdf	UTI_HostOmics_U27B2C1_Figure_2.pdf	pdf	True	59013		
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_3.png	UTI_HostOmics_U27B2C1_Figure_3.png	png	True	484436	2125	3330
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_3.svg	UTI_HostOmics_U27B2C1_Figure_3.svg	svg	True	233701		
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_3.pdf	UTI_HostOmics_U27B2C1_Figure_3.pdf	pdf	True	45575		
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_4.png	UTI_HostOmics_U27B2C1_Figure_4.png	png	True	782254	2125	3300
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_4.svg	UTI_HostOmics_U27B2C1_Figure_4.svg	svg	True	1859516		
project://06_figures/phaseU27B2C1_figures_1_to_4_layout_content_repair/UTI_HostOmics_U27B2C1_Figure_4.pdf	UTI_HostOmics_U27B2C1_Figure_4.pdf	pdf	True	225423		
