source_path	frozen_path	format	size_bytes	sha256	png_width_px	png_height_px	asset_type	figure_number	panel
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_5.png	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_5.png	png	616929	a7df4e4bde49e88dce21a97ee983f34e8887147aab5ac5abc87ec8cfc29d57dc	2125.0	3060.0	main_figure	5	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_5.svg	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_5.svg	svg	317361	b5b925c21b9f0d6d2942a8d47ba0b0a7d7ae6469902c7f95ac79347eb7f883a3			main_figure	5	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_5.pdf	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_5.pdf	pdf	50286	9a2a8eefb75efd4d6bab536ae04b2046a1a103a025f568176467818e0941cec7			main_figure	5	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_6.png	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_6.png	png	660039	d7648857b50ea2bcc9fbb694df88cc023c9ad015724ebb65067b305e17b2a2a6	2125.0	3390.0	main_figure	6	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_6.svg	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_6.svg	svg	343524	c29719c0f87b0def92a25be90e5c04bdb2b8a5cb41c3f5a3f2d13fe8466142bd			main_figure	6	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_6.pdf	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_6.pdf	pdf	54972	6b1e9cf4adab2a4201fc9f8d4fb160777db71300e8ff4b9e609d7287e38b86d3			main_figure	6	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_7.png	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_7.png	png	601619	b4ace7438f81de06a686d14fcb388aa13515b9d58e99fd0f3f6f4a1d4277d038	2125.0	3060.0	main_figure	7	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_7.svg	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_7.svg	svg	291945	a75f4257727a316b9642f93f51bb43c56338e517efbd12f63a763a3d8d68e06f			main_figure	7	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_7.pdf	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_7.pdf	pdf	48240	2ab73664c2769e95da09187ee3ab66f5658df96a63e8158172b3172190981ff5			main_figure	7	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_8.png	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_8.png	png	474809	2a9df4bc0aff70c0431270421e161cebfc4127d84ce516416c0b6def1730af33	2125.0	2760.0	main_figure	8	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_8.svg	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_8.svg	svg	243293	df7bd127a83b6699b497c36cf7e0fbdf84c753fbda2bdc1a8be1e18203a94067			main_figure	8	
project://06_figures/phaseU27B2E2D_final_visibility_title_microrepair/UTI_HostOmics_U27B2E2D_Figure_8.pdf	project://06_figures/phaseU27B2E2E_final_figures_5_to_8_freeze/UTI_HostOmics_U27B2E2E_Figure_8.pdf	pdf	43918	3ff40fc5aa6f5e6039aa0167ee71f7baa6f59cb4656a93232ec6703675afc4fb			main_figure	8	
