asset_type	figure_number	panel	format	source_path	frozen_path	size_bytes	sha256	png_width_px	png_height_px
panel_crop	1	F	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_1_panel_F.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_1_panel_F.png	7012	44a469805bbfefeb6d55be693f8928f9383be2818ba3d38f991c37fedada2be0	303.0	249.0
panel_crop	2	A	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_2_panel_A.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_2_panel_A.png	18553	04ad79d5d7ac7e6c58217b27ed62f7c9f3bb51d42541c3669f56916dd0262277	473.0	252.0
panel_crop	2	B	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_2_panel_B.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_2_panel_B.png	7313	74240dc300b2d37addab17fa99597d82d6233b940897b688b8f56e78b1f65c17	176.0	285.0
panel_crop	2	C	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_2_panel_C.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_2_panel_C.png	13665	03e50b1376cc1f793bbf21b525ac2f712871df7f9ce7778ba73987cd1a978073	202.0	233.0
panel_crop	2	D	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_2_panel_D.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_2_panel_D.png	9157	d1dbdd01683646af05135351978fc33c10ccf69e4acc7a570af175cf0e482dee	243.0	268.0
panel_crop	2	E	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_2_panel_E.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_2_panel_E.png	17913	378babb94d48c1a9b845bd3893b6697cc38362c4406fc06347e8c8352256f627	248.0	268.0
panel_crop	2	F	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_2_panel_F.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_2_panel_F.png	15464	56f558024fc8f168a4dcef0d6b5820a288b050b480c493c0d41f5de519c9b74d	220.0	262.0
panel_crop	2	G	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_2_panel_G.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_2_panel_G.png	27616	bc8d7f362a9f046e52b8329ee9aa07632d124c4033ed6af61d36c2b3555390c3	453.0	262.0
panel_crop	3	A	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_A.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_A.png	10252	7045ac2522ef675783f8bf3f3e26f8b6ed681197e42813c77103cc4a4c96b2b1	303.0	256.0
panel_crop	3	B	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_B.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_B.png	18640	1060ce21ba00c4b3b997b58e62098527905f4006ee6c70b732891a53f829dfef	330.0	256.0
