dataset	source	metadata_column	levels	n_levels	total_n	minimum_level_n	support_class	recommended_statistics
GSE186800	auto-discovered metadata	inferred_group	Gardnerella:10 | PBS:10 | PBS:10 | Gardnerella:10	4	40	10	multigroup_metadata_candidate	multi-group effect sizes, omnibus testing and pairwise FDR-controlled contrasts are potentially feasible
GSE280297	auto-discovered metadata	inferred_group	Unclear:25 | Preterm_birth_related:24 | UTI89_Preterm:24 | Preterm_birth_related:24 | Unclear:24 | UTI89_Preterm:22 | UTI89_Term:20 | UTI89_Term:20 | Control_or_PBS:12 | Mock_PBS:12 | Control_or_PBS:12 | Mock_PBS:12 | UTI89_Nonpregnant:4 | UTI89_Nonpregnant:3	14	238	3	limited_metadata_candidate	descriptive or exploratory analysis only unless sample-level metadata are improved
GSE280297	auto-discovered metadata	outcome	Preterm:24 | Preterm:22 | Term:20 | Term:20 | Mock:12 | Mock:12 | Nonpregnant:4 | Nonpregnant:3	8	117	3	multigroup_metadata_candidate	multi-group effect sizes, omnibus testing and pairwise FDR-controlled contrasts are potentially feasible
GSE280297	auto-discovered metadata	treatment	UTI89:40 | UTI89:37 | PBS:12 | PBS:12 | UTI89 RFP:8 | UTI89 RFP:8	6	117	8	multigroup_metadata_candidate	multi-group effect sizes, omnibus testing and pairwise FDR-controlled contrasts are potentially feasible
GSE112098	auto-discovered metadata	inferred_group	Sepsis:41 | Vascular_surgery_control:32 | Sepsis:1 | Vascular_surgery_control:1	4	75	1	multigroup_metadata_candidate	multi-group effect sizes, omnibus testing and pairwise FDR-controlled contrasts are potentially feasible
GSE252321	auto-discovered metadata	condition	Control:40 | UPEC:40	2	80	40	strong_binary_metadata_candidate	effect size, FDR, logistic regression/odds ratio, AUROC and permutation testing are potentially feasible
GSE252321	auto-discovered metadata	mean_group_a	0.5349960327148438:1 | 0.5117049813270569:1 | 0.6213717460632324:1 | 0.7469433546066284:1 | 0.6895054578781128:1 | 0.3678133487701416:1 | 0.5601643323898315:1 | 0.9467226266860962:1 | 0.8208538293838501:1 | 0.06395343691110611:1 | 0.4149608612060547:1 | 0.47807925939559937:1 | 0.9722412824630737:1 | 0.4745381474494934:1 | 0.1516556739807129:1 | 0.434242308139801:1 | 0.41345974802970886:1 | 0.5087560415267944:1 | 0.1979951113462448:1 | 0.11266036331653595:1	20	20	1	limited_metadata_candidate	descriptive or exploratory analysis only unless sample-level metadata are improved
GSE252321	auto-discovered metadata	mean_group_b	0.15153992176055908:1 | 0.21645087003707886:1 | 0.29743558168411255:1 | 0.36097049713134766:1 | 0.15658998489379883:1 | 0.1924198567867279:1 | 0.45092201232910156:1 | 0.6035785675048828:1 | 0.5075479745864868:1 | 0.020694168284535408:1 | 0.33986812829971313:1 | 0.23522445559501648:1 | 0.7625821232795715:1 | 0.425555944442749:1 | 0.13152438402175903:1 | 0.5226463079452515:1 | 0.3775753378868103:1 | 0.4738966226577759:1 | 0.21185779571533203:1 | 0.10641326010227203:1	20	20	1	limited_metadata_candidate	descriptive or exploratory analysis only unless sample-level metadata are improved
GSE252321	auto-discovered metadata	delta_group_a_minus_group_b	0.38345611095428467:1 | 0.295254111289978:1 | 0.3239361643791199:1 | 0.38597285747528076:1 | 0.532915472984314:1 | 0.1753934919834137:1 | 0.10924232006072998:1 | 0.3431440591812134:1 | 0.3133058547973633:1 | 0.04325927048921585:1 | 0.07509273290634155:1 | 0.24285480380058289:1 | 0.2096591591835022:1 | 0.048982203006744385:1 | 0.020131289958953857:1 | -0.08840399980545044:1 | 0.03588441014289856:1 | 0.034859418869018555:1 | -0.01386268436908722:1 | 0.006247103214263916:1	20	20	1	limited_metadata_candidate	descriptive or exploratory analysis only unless sample-level metadata are improved
