dataset	dataset_label	layer	n_detected_gene_symbols	gene_universe_file	status
GSE186800	recurrence-trigger bladder model	bulk	39406	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/GSE186800_U26A_detected_gene_universe.txt	resolved
GSE280297	pregnancy-associated UTI model	bulk	92350	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/GSE280297_U26A_detected_gene_universe.txt	resolved
GSE112098	human urine inflammatory comparator	bulk	23930	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/GSE112098_U26A_detected_gene_universe.txt	resolved
GSE252321	UPEC-responsive single-cell validation	single-cell	28449	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/GSE252321_U26A_detected_gene_universe.txt	resolved
