dataset	path	size_bytes	candidate_score	genes_extracted	metadata_levels_extracted	status
GSE186800	project://02_data_raw/GSE186800/supplementary/GSE186800_Raw_geneCPM_matrix.txt.gz	3533038	6	39247	0	ok
GSE186800	project://03_data_processed/phaseU4_clean_matrices/GSE186800_clean_gene_symbol_matrix.tsv.gz	3806454	6	39247	0	ok
GSE186800	project://03_data_processed/phaseU4b_repaired_matrices/GSE186800_repaired_gene_symbol_matrix.tsv.gz	3195947	6	39247	0	ok
GSE186800	project://02_data_raw/GSE186800/matrix/GSE186800_series_matrix.txt.gz	3484	3	162	0	ok
GSE186800	project://05_results/phaseU4_module_scores/GSE186800_module_gene_coverage.tsv	3134	3	18	0	ok
GSE186800	project://05_results/phaseU4b_repaired_module_scores/GSE186800_repaired_module_gene_coverage.tsv	3134	3	18	0	ok
GSE186800	project://07_tables/phaseU4_module_scores/GSE186800_sample_annotation_v1.tsv	1078	2	1	0	ok
GSE186800	project://07_tables/phaseU4b_repaired_module_scores/GSE186800_repaired_sample_annotation_v1.tsv	1078	2	1	0	ok
GSE186800	project://02_data_raw/GSE186800/supplementary/GSE186800_PBS_1.txt.gz	1974288	0	39247	0	ok
GSE186800	project://02_data_raw/GSE186800/supplementary/GSE186800_PBS_2.txt.gz	1975911	0	39247	0	ok
GSE186800	project://02_data_raw/GSE186800/supplementary/GSE186800_Gard_1.txt.gz	2005310	0	39247	0	ok
GSE186800	project://02_data_raw/GSE186800/supplementary/GSE186800_Gard_2.txt.gz	1940044	0	39247	0	ok
GSE186800	project://05_results/phaseU4_module_scores/GSE186800_module_scores.tsv	10063	0	0	0	unreadable_or_no_genes
GSE186800	project://05_results/phaseU4b_repaired_module_scores/GSE186800_repaired_module_scores.tsv	8578	0	0	0	unreadable_or_no_genes
GSE280297	project://03_data_processed/phaseU4_clean_matrices/GSE280297_gene_count_clean_gene_symbol_matrix.tsv.gz	5335840	9	56748	0	ok
GSE280297	project://03_data_processed/phaseU4_clean_matrices/GSE280297_normalized_clean_gene_symbol_matrix.tsv.gz	10655443	9	56748	0	ok
GSE280297	project://03_data_processed/phaseU4b_repaired_matrices/GSE280297_gene_count_repaired_gene_symbol_matrix.tsv.gz	4763319	9	54966	0	ok
GSE280297	project://03_data_processed/phaseU4b_repaired_matrices/GSE280297_normalized_repaired_gene_symbol_matrix.tsv.gz	1666627	9	0	0	unreadable_or_no_genes
GSE280297	project://07_tables/phaseU4_module_scores/GSE280297_gene_count_sample_annotation_v1.tsv	9177	8	0	0	unreadable_or_no_genes
GSE280297	project://07_tables/phaseU4b_repaired_module_scores/GSE280297_gene_count_repaired_sample_annotation_v1.tsv	9921	8	0	0	unreadable_or_no_genes
GSE280297	project://02_data_raw/GSE280297/supplementary/GSE280297_gene_count.csv.gz	2309778	6	56748	0	ok
GSE280297	project://02_data_raw/GSE280297/supplementary/GSE280297_Normalized.counts.csv.gz	8879380	6	56748	0	ok
GSE280297	project://05_results/phaseU4_module_scores/GSE280297_gene_count_module_scores.tsv	5591	6	0	0	unreadable_or_no_genes
