dataset	dataset_label	layer	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	proposed_figure_family
GSE186800	recurrence-trigger bladder model	bulk	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	18	0.9474	adequate	DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	CYP51A1	Figure_7
GSE280297	pregnancy-associated UTI model	bulk	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	18	0.9474	adequate	DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	CYP51A1	Figure_7
GSE112098	human urine inflammatory comparator	bulk	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	19	1.0	adequate	CYP51A1;DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2		Figure_7
GSE252321	UPEC-responsive single-cell validation	single-cell	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	18	0.9474	adequate	DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	CYP51A1	Figure_7
GSE186800	recurrence-trigger bladder model	bulk	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	19	1.0	adequate	ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5		Figure_7
GSE280297	pregnancy-associated UTI model	bulk	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	19	1.0	adequate	ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5		Figure_7
GSE112098	human urine inflammatory comparator	bulk	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	18	0.9474	adequate	ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5	NPC2	Figure_7
GSE252321	UPEC-responsive single-cell validation	single-cell	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	18	0.9474	adequate	ABCA1;ABCG1;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5	ABCG5	Figure_7
GSE186800	recurrence-trigger bladder model	bulk	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	11	0.9167	adequate	CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;FDX1;FDXR;HSD3B1;HSD3B2;POR;STAR	CYP21A2	Figure_7
GSE280297	pregnancy-associated UTI model	bulk	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	11	0.9167	adequate	CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;FDX1;FDXR;HSD3B1;HSD3B2;POR;STAR	CYP21A2	Figure_7
GSE112098	human urine inflammatory comparator	bulk	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	11	0.9167	adequate	CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;CYP21A2;FDX1;FDXR;HSD3B1;HSD3B2;STAR	POR	Figure_7
GSE252321	UPEC-responsive single-cell validation	single-cell	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	8	0.6667	adequate	CYB5A;CYP11A1;CYP17A1;FDX1;FDXR;HSD3B2;POR;STAR	CYP11B1;CYP11B2;CYP21A2;HSD3B1	Figure_7
GSE186800	recurrence-trigger bladder model	bulk	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	15	0.8824	adequate	CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR	AKR1C1;AKR1C2	Figure_7
GSE280297	pregnancy-associated UTI model	bulk	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	15	0.8824	adequate	CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR	AKR1C1;AKR1C2	Figure_7
GSE112098	human urine inflammatory comparator	bulk	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	17	1.0	adequate	AKR1C1;AKR1C2;CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR		Figure_7
GSE252321	UPEC-responsive single-cell validation	single-cell	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	14	0.8235	adequate	CYP11A1;FKBP5;HAND2;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR	AKR1C1;AKR1C2;HSD3B1	Figure_7
GSE186800	recurrence-trigger bladder model	bulk	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	8	0.8889	adequate	COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7	HSD17B8	Figure_7
GSE280297	pregnancy-associated UTI model	bulk	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	8	0.8889	adequate	COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7	HSD17B8	Figure_7
GSE112098	human urine inflammatory comparator	bulk	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	9	1.0	adequate	COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7;HSD17B8		Figure_7
GSE252321	UPEC-responsive single-cell validation	single-cell	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	7	0.7778	adequate	COMT;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7	CYP19A1;HSD17B8	Figure_7
