sample_id	gsm_accession	tissue	treatment	outcome	pregnancy_status	dam_id	metadata_confidence	unresolved_required_fields	n_evidence_records	evidence_sources
P4				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P5				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P6				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P7				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P8				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P9				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P10				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P11				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P12				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P13				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P14				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P15				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P16				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P17				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P18				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P19				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P20				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P21				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P22				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P23				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P24				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P25				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P26				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P27				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
P28				preterm	pregnant		low	tissue;treatment	2	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz;expression_column
