dataset	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	interpretation_scope
GSE280297	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	0	0.0	weak		CYP51A1;DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	0	0.0	weak		ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	0	0.0	weak		CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;CYP21A2;FDX1;FDXR;HSD3B1;HSD3B2;POR;STAR	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	0	0.0	weak		AKR1C1;AKR1C2;CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	0	0.0	weak		COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7;HSD17B8	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	13	0	0.0	weak		CCND1;ESR1;ESR2;FOXA1;GPER1;GREB1;KLF4;NCOA1;NCOA2;NCOA3;NRIP1;PGR;TFF1	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	9	0	0.0	weak		AKR1C3;CYB5A;CYP11A1;CYP17A1;HSD17B3;HSD3B1;HSD3B2;POR;STAR	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	11	0	0.0	weak		AKR1C2;AKR1C3;CYP19A1;HSD17B2;SRD5A1;SRD5A2;SRD5A3;SULT2A1;UGT2B15;UGT2B17;UGT2B7	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	11	0	0.0	weak		AR;FKBP5;FOXA1;KLK3;NCOA1;NCOA2;NCOA3;NCOR1;NCOR2;SGK1;TMPRSS2	resolved gene-presence feasibility; differential activity remains to be tested in U26B
GSE280297	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	13	0	0.0	weak		DUSP1;FKBP5;GILZ;HSD11B1;HSD11B2;KLF9;NFKBIA;NR3C1;PER1;SGK1;TAT;TSC22D3;ZBTB16	resolved gene-presence feasibility; differential activity remains to be tested in U26B
