figure_number	first_reference_character_position	reference_present	all_figures_ordered
1	-1	False	False
2	-1	False	False
3	-1	False	False
4	-1	False	False
5	-1	False	False
6	-1	False	False
7	-1	False	False
8	-1	False	False
